time,Cloud_Cover_Mean,Dew_Point_Temperature_2m_Mean,Temperature_Air_2m_Mean_24h,Vapour_Pressure_Mean,Wind_Speed_10m_Mean
1/1/19,0.5136207,270.8527,273.3495,5.3180704,1.6453421
1/2/19,0.41316858,268.58514,274.6841,4.6037097,2.5288987
1/3/19,0.5499996,264.98175,272.86145,3.5537388,3.9029272
1/4/19,0.5913121,264.86813,271.22705,3.4967983,2.5582566
1/5/19,0.8864795,268.0089,271.6962,4.3653326,1.6761149
1/6/19,0.70026183,269.7793,273.5243,4.9531693,1.6564726
1/7/19,0.8908141,269.75577,272.50406,4.917124,0.9901386
1/8/19,0.82240623,270.5353,271.88538,5.2067475,1.8540764
1/9/19,0.7766178,271.94348,273.39407,5.7349415,1.5891982
1/10/19,0.7937541,271.14218,273.9022,5.430504,3.335985
1/11/19,0.42885864,266.14886,271.9682,3.8327951,2.0509021
1/12/19,0.66487116,268.28152,272.20035,4.4504538,1.5611378
1/13/19,0.779304,271.5329,276.53323,5.5949554,2.4145353
1/14/19,0.3958872,273.21402,277.70862,6.274621,1.8266767
1/15/19,0.22286423,268.6877,274.58487,4.5960374,2.3080463
1/16/19,0.3693413,272.75946,278.3085,6.0785146,3.3968704
1/17/19,0.5535175,276.30914,281.7807,7.650455,3.87824
1/18/19,0.91260165,274.15695,274.79846,6.656411,1.6725792
1/19/19,0.9261893,270.31256,273.55087,5.126934,1.8694754
1/20/19,0.8898257,271.3691,273.74457,5.5060215,0.83946127
1/21/19,0.9467674,270.41202,273.48373,5.159457,2.174252
1/22/19,0.9612976,269.89175,272.22675,4.9818807,2.9793332
1/23/19,0.9513233,269.24362,270.90207,4.7645416,1.9787472
1/24/19,0.8156064,269.48868,271.589,4.8738866,2.8336298
1/25/19,0.7924375,266.0491,269.84848,3.8314912,2.8833847
1/26/19,0.742158,265.42633,268.89606,3.6714303,1.9816242
1/27/19,0.75818014,270.02896,272.8905,5.1426153,1.952927
1/28/19,0.94989616,274.7293,274.99908,6.8934846,1.5220193
1/29/19,0.95217407,274.05988,274.1483,6.6065626,0.9243512
1/30/19,0.906214,272.34857,273.486,5.888486,1.4646012
1/31/19,0.8330937,272.05203,272.96405,5.7705517,1.4064521
2/1/19,0.91226184,276.97433,278.55417,8.156258,2.192669
2/2/19,0.84784514,280.50668,283.74292,10.063808,2.7917519
2/3/19,0.855385,279.32407,280.3489,9.377917,1.9684902
2/4/19,0.877455,272.13422,276.20026,5.8404717,2.4694788
2/5/19,0.8362072,271.29654,274.5999,5.480251,2.1962767
2/6/19,0.108064726,270.4886,273.57504,5.2032695,2.0687306
2/7/19,0.49187455,270.2156,272.70993,5.1213813,1.2363906
2/8/19,0.61533916,271.65393,273.26144,5.648225,1.0997894
2/9/19,0.7064313,272.46945,274.5334,5.9653044,1.8558235
2/10/19,0.89609075,276.49017,279.7898,7.831743,3.6033647
2/11/19,0.8574491,274.03967,276.45383,6.658771,1.916873
2/12/19,0.40622345,268.61002,275.9656,4.588794,2.2420464
2/13/19,0.64339966,271.03433,275.62277,5.3929563,1.2520009
2/14/19,0.3559439,272.6112,276.73523,6.0092635,1.1546375
2/15/19,0.39292184,273.33972,276.5275,6.315052,2.0095203
2/16/19,0.08306785,272.75775,276.63916,6.084057,1.5492078
2/17/19,0.026740454,272.72977,278.1432,6.0518703,1.0798168
2/18/19,0.12287321,273.27316,278.06638,6.3003817,1.2178799
2/19/19,0.031674128,272.86166,277.5588,6.1588507,2.1708572
2/20/19,0.3495105,273.96307,278.04767,6.6038055,1.3868333
2/21/19,0.5891212,275.11777,279.68713,7.108403,1.3588668
2/22/19,0.3989619,271.81897,278.14505,6.151756,4.4789977
2/23/19,0.172046,260.6253,272.09595,2.5807726,4.539317
2/24/19,0.64444876,263.37814,273.34882,3.1648936,1.705121
2/25/19,0.5952682,267.37573,276.74838,4.1850433,2.168381
2/26/19,0.7613656,271.194,282.11145,5.484876,2.6007268
2/27/19,0.11881689,271.23,280.3177,5.4725704,2.6112673
2/28/19,0.17841429,271.38318,282.09277,5.529848,2.8972027
3/1/19,0.54392403,273.75067,281.30505,6.5201764,1.3880354
3/2/19,0.5196409,276.26913,280.17853,7.6808434,1.5268295
3/3/19,0.60751265,274.78152,281.78925,6.982648,2.3907905
3/4/19,0.51780546,275.48697,283.36127,7.297026,3.8440723
3/5/19,0.5295578,277.52997,279.99582,8.375804,1.9319636
3/6/19,0.7295844,275.72275,283.02817,7.429097,3.002654
3/7/19,0.58709854,278.43118,288.30396,8.846865,4.485364
3/8/19,0.47704986,277.9238,284.963,8.586048,2.946014
3/9/19,0.61375874,277.2056,284.09302,8.182349,3.035784
3/10/19,0.7110553,277.98737,284.43652,8.607424,4.273235
3/11/19,0.94367564,275.01703,278.0589,7.1126413,2.1656916
3/12/19,0.17067194,271.03455,276.67157,5.40911,2.618411
3/13/19,0.77430046,272.5342,278.32568,6.020688,1.873625
3/14/19,0.6666862,272.62167,280.42935,6.0567336,2.385201
3/15/19,0.6158419,273.74664,282.92487,6.4979725,2.033547
3/16/19,0.61700577,278.44922,283.87793,8.891254,2.102944
3/17/19,0.10695341,279.72998,285.7011,9.652952,3.9976504
3/18/19,0.91564906,276.45468,277.99362,7.8078895,2.468864
3/19/19,0.73734903,273.77206,278.35675,6.521857,2.440921
3/20/19,0.5832252,269.91257,279.3726,4.986299,3.638403
3/21/19,0.2654384,271.00156,279.42596,5.380201,2.2665677
3/22/19,0.24004106,272.3396,280.79965,5.910904,1.5519643
3/23/19,0.060798526,275.44223,283.30975,7.3087897,1.5926874
3/24/19,0.06084809,276.53525,285.4762,7.8494334,1.397984
3/25/19,0.6893092,277.8373,281.77744,8.59125,3.0957708
3/26/19,0.58568615,271.91977,278.86682,5.7422037,3.2934449
3/27/19,0.73159856,271.9433,278.59167,5.7384877,2.6867452
3/28/19,0.45078966,273.95258,280.8838,6.617106,2.7667062
3/29/19,0.33092323,274.5941,282.08832,6.9116035,2.2573702
3/30/19,0.31118077,273.3005,283.34595,6.3190365,1.0621045
3/31/19,0.029429419,274.6279,284.68066,6.8994417,1.720822
4/1/19,0.12067807,277.592,285.09213,8.416613,3.0458503
4/2/19,0.80119675,276.18124,285.26657,7.6749396,1.7426807
4/3/19,0.5552596,279.3625,284.76407,9.48796,2.6956813
4/4/19,0.54432756,278.77698,286.22943,9.115096,2.942426
4/5/19,0.6876338,279.0176,282.29367,9.307824,2.8261983
4/6/19,0.80715674,278.5511,282.37634,8.966133,1.1887772
4/7/19,0.9278435,280.74142,282.81165,10.411357,1.200072
4/8/19,0.8992258,283.10052,285.48123,12.034158,2.172715
4/9/19,0.964085,282.32498,285.9021,11.4538965,1.535856
4/10/19,0.9603647,282.52304,284.58722,11.616803,3.1166606
4/11/19,0.9707815,277.85205,279.71338,8.588828,3.8531225
4/12/19,0.9685531,275.4593,278.20477,7.299079,2.7755938
4/13/19,0.9664964,275.48285,278.9451,7.3152437,2.865364
4/14/19,0.94636095,277.5436,279.76752,8.4112015,2.8668728
4/15/19,0.28102103,275.82385,282.46585,7.540302,3.201148
4/16/19,0.05748204,273.81244,282.70325,6.542542,1.3577288
4/17/19,0.14196162,274.87167,283.74783,7.0420723,2.3212934
4/18/19,0.33993155,277.4243,284.23178,8.35807,2.5476649
4/19/19,0.173712,277.4927,285.92432,8.420222,1.656515
4/20/19,0.026513714,275.151,286.57755,7.1739507,2.0790753
4/21/19,0.09214374,274.17526,287.02252,6.73908,1.5704936
4/22/19,0.405096,278.3367,288.3672,8.909955,2.2186706
4/23/19,0.88707995,283.12094,285.75137,12.135531,2.3084645
4/24/19,0.58459413,284.7147,289.185,13.4515295,2.3778849
4/25/19,0.5814232,283.4193,291.05157,12.37053,3.0464354
4/26/19,0.75300384,283.76654,290.36536,12.672603,2.7529068
4/27/19,0.5818506,280.4961,284.8385,10.27189,1.744044
4/28/19,0.8448515,277.96664,285.05136,8.705159,2.500125
4/29/19,0.93875587,278.69562,283.1852,9.17487,2.3439517
4/30/19,0.8034168,279.81476,284.5442,9.81593,2.3650796
5/1/19,0.25117424,278.8195,286.9817,9.203484,2.0421226
5/2/19,0.3130344,278.7494,288.93533,9.205992,3.4169524
5/3/19,0.9026822,281.7584,287.3881,11.1965885,2.7310698
5/4/19,0.9345547,283.62512,285.26544,12.574594,1.5154544
5/5/19,0.96437055,276.3953,279.35678,7.8454523,5.597688
5/6/19,0.8909068,275.73035,279.3182,7.461635,3.6750624
5/7/19,0.5180633,274.85715,282.13754,7.029129,1.6656371
5/8/19,0.80894554,278.08987,285.77396,8.791096,2.8435473
5/9/19,0.8709774,280.8942,282.5298,10.626361,1.745645
5/10/19,0.6001428,281.92148,285.92444,11.344582,1.589472
5/11/19,0.8636932,282.94876,288.94193,12.102564,2.1010716
5/12/19,0.96020365,281.45758,285.10754,11.004048,6.810378
5/13/19,0.93951875,277.1382,282.2353,8.244465,8.105978
5/14/19,0.9382328,274.42584,281.37466,6.825491,4.810786
5/15/19,0.9602876,278.76257,280.65436,9.196189,1.9472086
5/16/19,0.94808495,279.68512,282.9562,9.766654,1.1926366
5/17/19,0.71567065,280.04782,284.69238,10.010098,1.654458
5/18/19,0.8670661,283.79196,287.26498,12.845633,1.5179039
5/19/19,0.9089129,285.5397,287.9276,14.291869,1.3526524
5/20/19,0.67240053,282.62668,287.97607,11.910024,3.608846
5/21/19,0.87541103,284.03348,287.71033,13.038167,3.3251503
5/22/19,0.7525454,284.96487,289.7897,13.806089,2.3646035
5/23/19,0.5987498,283.46487,289.87213,12.58964,1.3444457
5/24/19,0.1262249,282.25473,290.74234,11.617985,1.1686537
5/25/19,0.6977443,284.0877,291.76282,13.074163,1.4546362
5/26/19,0.94433016,286.71317,292.3432,15.442497,1.337701
5/27/19,0.9205964,287.2268,288.80862,15.925862,1.4063905
5/28/19,0.9124919,287.52557,290.32205,16.228949,1.8682119
5/29/19,0.95738745,284.2805,286.19263,13.269207,3.8014486
5/30/19,0.9553308,282.49277,285.61737,11.804246,2.1829152
5/31/19,0.67412883,283.3922,288.86667,12.512526,2.2719781
6/1/19,0.42098007,285.01212,292.50803,13.919002,2.948876
6/2/19,0.2884684,287.39914,293.06433,16.150534,2.1845179
6/3/19,0.49846926,287.9554,294.10388,16.733303,1.723498
6/4/19,0.512263,289.19577,294.91632,18.067833,1.4496117
6/5/19,0.65401244,290.0166,293.5478,19.017046,1.4405801
6/6/19,0.2749646,287.96252,294.71338,16.776731,3.5986793
6/7/19,0.050090116,286.42877,295.41443,15.290539,3.462125
6/8/19,0.18679899,286.73337,296.52643,15.632374,2.657044
6/9/19,0.2277033,287.60745,295.96088,16.492125,1.4120237
6/10/19,0.16022263,290.74026,297.32925,19.886688,1.9621298
6/11/19,0.27126333,290.89166,297.8272,20.131483,2.0308194
6/12/19,0.091627784,291.21173,298.6833,20.504154,2.0701041
6/13/19,0.071271025,288.1331,298.04977,17.288324,2.7771614
6/14/19,0.16251968,287.08054,298.08353,16.111637,1.6981469
