Code,geometry,Latitude,Longitude,distance_DonBosco,distance_Nord,distance_Ost,distance_Sud,distance_West,closest,minimum,color
8010_205,POINT (681212.3141290674 5216919.27842416),47.087794,15.426301,3653.457417,1120.294237,4388.585311,5151.36897,2659.564644,Nord,1120.29,blue
8010_208,POINT (682508.3905550099 5215800.484927273),47.077866,15.443536,3213.225047,2832.422263,2689.680221,4099.519531,3163.295145,Ost,2689.68,blue
8010_209,POINT (683600.0632205892 5215656.151923441),47.076679,15.45793,3920.485632,3799.518044,2017.995362,4323.865071,4193.546457,Ost,2018,blue
8010_213,POINT (682552.9123798492 5214448.842201065),47.065714,15.444325,2390.946056,3881.921872,1828.992486,2804.133142,3112.626949,Ost,1828.99,blue
8010_214,POINT (682865.9700840591 5213147.187562544),47.054039,15.44864,2445.428017,5156.300967,1497.288645,1811.878684,3820.928424,Ost,1497.29,blue
8020_102,POINT (680302.1570854607 5216597.15105853),47.084801,15.414366,3248.854695,1065.426739,4863.767022,4999.198912,1882.681603,Nord,1065.43,blue
8020_103,POINT (680604.5056683852 5215302.935495531),47.073193,15.418547,1960.031426,2368.774061,3956.24294,3672.149752,1197.961393,West,1197.96,blue
8020_107,POINT (681418.7088894836 5212230.81203795),47.045648,15.429734,1494.582862,5529.424363,3200.588946,507.9675469,3307.574581,Sud,507.97,blue
8020_110,POINT (680608.4254545075 5213686.899345147),47.058659,15.418848,381.0013899,3980.403135,3631.915136,2174.321596,1665.46604,DonBosco,381,blue
8020_119,POINT (681568.2550141169 5214588.677844884),47.06687,15.431343,1682.330202,3296.29338,2802.528729,2802.363077,2118.120191,DonBosco,1682.33,blue
8020_122,POINT (681585.1481259374 5213526.207554544),47.057316,15.431727,1169.35142,4308.371477,2663.549048,1740.087637,2522.172773,DonBosco,1169.35,blue
8041_218,POINT (683635.4114964324 5211599.484960411),47.040197,15.458994,3653.476338,6883.494875,2226.435663,1976.680683,5315.256156,Sud,1976.68,blue
8041_221,POINT (684067.0866858182 5211895.30789375),47.042901,15.46463,3918.396388,6847.474083,1855.044783,2401.733014,5491.992742,Ost,1855.04,blue
8045_203,POINT (680984.8798194214 5217668.328180546),47.094507,15.423191,4353.186878,612.8421002,5099.911665,5919.7644,3148.171973,Nord,612.84,blue
8051_101,POINT (679324.337248685 5218997.072505938),47.106281,15.401113,5753.349324,1698.470148,7195.53612,7580.311823,4093.460134,Nord,1698.47,blue
8053_111,POINT (680236.8446253261 5212001.228059837),47.043459,15.414219,1363.162404,5660.667974,4365.303437,1446.691815,3003.587728,DonBosco,1363.16,blue
Nord,POINT (680372.090566234 5217660.2801398),47.09437,15.415122,,,,,,,,red
Ost,POINT (684239.918274588 5213742.283905409),47.05953,15.466634,,,,,,,,red
West,POINT (679474.0926807155 5214906.352620291),47.069506,15.403728,,,,,,,,red
DonBosco,POINT (680429.0313316338 5213350.774654324),47.055617,15.416539,,,,,,,,red
Sud,POINT (681667.748449188 5211788.081503137),47.041692,15.433078,,,,,,,,red
