,D_NO2,N_NO2,O_NO2,S_NO2,W_NO2,D_PM10K,N_PM10K,O_PM10K,S_PM10K,W_PM10K,N_O3,S_O3,N_Ox,S_Ox
RMSE_f0_add,10.14345455174849,5.973272599151681,7.337198836783341,7.411118924894195,7.591714631979144,7.442381056625086,6.228861240379673,6.629419161292855,7.348040565520113,6.960647852173799,12.72441913874897,13.087098173718795,11.461234531061917,10.272689607824018
MAE_f0_add,7.580812741362699,4.369343710951678,5.575182181358535,5.313645481720423,5.846200800558329,6.314401909436625,5.102809729315614,5.037826662959172,5.881645677397751,5.820786961293727,10.66647988442887,10.731256361181893,9.524523029239461,8.758225508253084
RMSE_f0_mul,10.518234408681442,6.209995398573559,8.63241137787977,7.770041648619023,7.582704979429157,7.329731594209019,6.1205024039115425,6.8841092732007585,7.412392904827879,6.891676576531068,12.5675879344588,13.000201411910888,11.44797416521644,11.091998195131001
MAE_f0_mul,8.09482634236181,4.530561431586821,7.091719220249017,5.69066370805457,5.79049337676327,6.039980705208371,4.947905508404003,5.278543107839479,5.896359843231775,5.773746288316082,10.52514973820895,10.660706035497059,9.528293263082338,9.502931079864608
RMSE_f1,9.518674956645645,6.432248586240272,8.757905610500998,6.432150873963558,6.943755090732243,7.695377669063434,5.964945378998644,7.119738111801578,6.409919655022154,6.525400587175749,9.328356423502195,9.696512370696997,8.090766663370001,8.434827863110112
MAE_f1,7.204070542691574,4.906297553143921,7.888533012113862,4.970177672146255,5.228646345080426,6.337154541696995,5.057705237017063,5.685923581440091,5.171173720343585,5.5025740376754015,7.235389286193146,7.8109706348857975,6.677316710975182,6.753731915271513
RMSE_f2,9.592260154324284,6.433737349100583,8.785921531376703,6.440651022327592,6.929287230416432,7.705171759182272,5.9520936221711835,7.088593436361488,6.351230126613354,6.5304903503961,9.30619978711361,9.67804207771467,8.124657225599679,8.488119830590355
MAE_f2,7.291560593046367,4.907365256628717,7.916838356123434,4.97715754106301,5.217883009188917,6.345272508377734,5.043664064590016,5.652254051894364,5.117400245979607,5.5100246350664825,7.223101465162179,7.799321731202209,6.697577227480462,6.802985365934271
RMSE_f3,9.054067674414059,6.387330979179777,8.766037891332214,6.185890363646196,7.102512018781318,7.471890006193051,5.899130449241706,6.032095753840873,5.651300532576985,6.128519407602871,9.267390930273862,9.11566299115967,8.053288145876056,7.710571814211281
MAE_f3,7.06437692713643,4.836456083120642,7.819008549875859,4.827287687415661,5.458463340763008,6.1433102170705265,4.970439894204453,4.789592900752917,4.405530123835989,4.946865183312029,7.307245955899002,7.4462946147354145,6.6613085258970015,5.890993000498231
RMSE_f4,9.095883193925333,6.442532364909408,8.790349839066458,6.1805964049598145,7.14943738024686,7.48997360925121,5.897957219277028,5.856646913227836,5.662259169738688,6.114597388479494,9.178053055185867,9.025234556948028,8.054770767602863,7.6550222771983645
MAE_f4,7.113759153633816,4.863765922125003,7.837614072419886,4.844022147060182,5.502291686452837,6.153600901258415,4.970165890390994,4.649194937348151,4.411866863999699,4.933350384583091,7.247892458780758,7.339355838599387,6.617355611886,5.8277045677235915
RMSE_f5,8.929430000008738,6.417593601683066,8.830335564517144,6.1847033970140926,7.093647234902097,7.467168455799539,5.835789459037949,5.758058899113371,5.549522115102063,6.108925334642752,9.169307549778047,8.96794016580624,8.005494348895466,7.595385575153203
MAE_f5,7.012985946685718,4.852424165526508,7.906788642973535,4.846514985668797,5.456447291165785,6.185158415958775,4.875501268527329,4.593578259739656,4.24213744596164,4.9095997610481295,7.24547274128987,7.305033279344589,6.615278653750334,5.755068585312202
RMSE_f6,9.05347694587285,6.308132481018895,8.952369195242913,5.793037427143712,7.055068222392381,9.105950385495943,6.123103017587292,6.312551900258355,6.6051011177577665,6.336099466407853,8.884625276467826,8.476633899729324,7.958320460413226,7.4966412766167725
MAE_f6,6.9494671428519155,4.887948536240082,7.933050881794229,4.606079642515335,5.684695479365099,7.3410344652878115,4.940431963242583,5.085311289240681,4.921751264446826,4.998624254888776,7.189058848372832,6.719293179767934,6.588215893358549,5.968869640280842
