,RMSE,MAE,RMSE_val_0.9,MAE_val_0.9
D_NO2,rf_6_80_None_sqrt_True_42,rf_5_50_5_auto_True_0,9.541,7.364
D_PM10K,rf_1_80_None_sqrt_True_0,rf_6_80_None_sqrt_True_42,11.077,7.934
N_NO2,rf_3_100_None_auto_True_42,rf_4_80_None_auto_True_42,6.438,4.964
N_O3,rf_2_50_None_auto_True_0,rf_2_50_None_auto_True_0,9.337,6.988
N_Ox,rf_base_150_None_auto_True_42,rf_base_150_None_auto_True_42,6.135,4.841
N_PM10K,rf_6_80_None_log2_True_0,rf_6_50_None_log2_True_0,7.765,5.415
O_NO2,rf_6_300_5_auto_True_42,rf_6_150_5_auto_True_42,7.009,5.483
O_PM10K,rf_4_80_None_sqrt_True_0,rf_5_50_5_sqrt_True_0,15.535,9.825
S_NO2,rf_6_150_5_auto_True_0,rf_5_300_5_log2_True_0,6.737,5.454
S_O3,rf_2_80_None_sqrt_True_42,rf_2_50_None_sqrt_True_42,5.72,4.679
S_Ox,rf_5_50_3_log2_False_0,rf_5_50_3_log2_False_0,11.005,9.386
S_PM10K,rf_1_50_None_sqrt_False_42,rf_4_50_None_auto_True_0,8.626,7.107
W_NO2,rf_5_200_None_auto_True_0,rf_3_50_None_auto_True_42,5.785,4.523
W_PM10K,rf_5_100_None_sqrt_False_0,rf_6_50_None_auto_True_42,8.052,5.552
