,RMSE,MAE,RMSE_val,MAE_val
S_NO2,f6,f6,5.674918172887693,4.339129044401931
S_Ox,f4,f1,5.983068071689375,4.945162174607795
S_O3,f6,f6,6.58325055293329,5.61816621701439
N_Ox,f6,f6,6.9603594042772805,5.6632961893200955
W_NO2,f6,f6,7.945839604371328,6.477925959978946
O_NO2,f6,f6,8.46317689528637,6.815037391603839
N_NO2,f6,f6,8.834461700148356,7.125666796553042
N_PM10K,f6,f6,10.105831066193186,7.278678057782396
N_O3,f6,f6,10.280981427377354,8.071703690988288
S_PM10K,f6,f6,10.518006789326986,7.749790709361711
W_PM10K,f6,f6,10.52727784917012,8.181642406734015
D_NO2,f6,f6,10.633231911441582,8.607323797806306
D_PM10K,f6,f6,12.706701414927338,9.243618800708067
O_PM10K,f6,f6,15.788231089755188,10.32684356286974
