,D_NO2,N_NO2,O_NO2,S_NO2,W_NO2,D_PM10K,N_PM10K,O_PM10K,S_PM10K,W_PM10K,N_O3,S_O3,N_Ox,S_Ox,type
RMSE_new_crossed_f,9.083,6.394,8.751,6.195,7.113,7.467,5.836,5.758,5.55,6.109,9.169,8.968,8.005,7.595,new_crossed_f
MAE_new_crossed_f,7.124,4.846,7.813,4.849,5.474,6.185,4.876,4.594,4.242,4.91,7.245,7.305,6.615,5.755,new_crossed_f
RMSE_base_add_cutoffs,9.812,6.176,7.564,7.848,8.001,7.621,6.584,7.62,8.291,7.695,12.861,12.943,11.217,9.886,base_add_cutoffs
MAE_base_add_cutoffs,7.289,4.452,5.817,5.713,6.131,6.425,5.452,5.792,6.654,6.398,10.752,10.499,9.338,8.367,base_add_cutoffs
RMSE_crossed_f5,8.714,6.299,8.537,5.895,6.827,7.53,5.742,6.477,5.872,6.472,9.017,8.71,7.852,7.51,crossed_f5
MAE_crossed_f5,6.79,4.726,7.599,4.508,5.227,6.225,4.869,5.105,4.554,5.262,7.174,7.068,6.514,5.789,crossed_f5
RMSE_base_multi_cutoffs,10.151,6.357,8.669,8.135,7.941,7.464,6.431,7.892,8.36,7.68,12.723,12.805,11.248,10.561,base_multi_cutoffs
MAE_base_multi_cutoffs,7.721,4.598,7.161,6.049,6.053,6.2,5.266,6.075,6.669,6.396,10.62,10.357,9.399,8.952,base_multi_cutoffs
RMSE_new_features_multi,9.519,6.432,8.758,6.432,6.944,7.695,5.965,7.12,6.41,6.525,9.328,9.697,8.091,8.435,new_features_multi
MAE_new_features_multi,7.204,4.906,7.889,4.97,5.229,6.337,5.058,5.686,5.171,5.503,7.235,7.811,6.677,6.754,new_features_multi
RMSE_features_multi,8.85,6.181,8.684,6.199,7.094,8.062,5.969,7.743,6.78,7.048,9.091,9.296,8.015,8.083,features_multi
MAE_features_multi,6.598,4.616,7.79,4.771,5.417,6.683,5.086,6.251,5.444,6.031,7.13,7.416,6.53,6.424,features_multi
RMSE_base_add,9.398,6.009,7.474,7.743,8.008,7.831,6.762,7.938,8.391,7.928,12.977,12.98,11.387,9.916,base_add
MAE_base_add,6.878,4.297,5.724,5.642,6.144,6.637,5.558,5.972,6.791,6.603,10.804,10.538,9.42,8.396,base_add
RMSE_new_base_add,10.143,5.973,7.337,7.411,7.592,7.442,6.229,6.629,7.348,6.961,12.724,13.087,11.461,10.273,new_base_add
MAE_new_base_add,7.581,4.369,5.575,5.314,5.846,6.314,5.103,5.038,5.882,5.821,10.666,10.731,9.525,8.758,new_base_add
RMSE_new_features2_multi,9.592,6.434,8.786,6.441,6.929,7.705,5.952,7.089,6.351,6.53,9.306,9.678,8.125,8.488,new_features2_multi
MAE_new_features2_multi,7.292,4.907,7.917,4.977,5.218,6.345,5.044,5.652,5.117,5.51,7.223,7.799,6.698,6.803,new_features2_multi
RMSE_f4_cutoffs,8.816,6.336,8.625,5.955,6.871,7.481,5.757,6.605,5.924,6.468,9.05,8.747,7.845,7.539,f4_cutoffs
MAE_f4_cutoffs,6.893,4.736,7.68,4.554,5.263,6.162,4.921,5.151,4.646,5.273,7.158,7.112,6.445,5.826,f4_cutoffs
RMSE_f4,8.369,6.086,8.609,5.633,6.537,7.858,5.966,6.838,6.046,6.727,9.151,8.775,8.073,7.554,f4
MAE_f4,6.408,4.553,7.722,4.246,4.983,6.494,5.059,5.352,4.823,5.564,7.149,7.145,6.574,5.776,f4
RMSE_features2_multi_cutoffs,9.216,6.352,8.468,6.263,7.139,7.754,5.809,7.361,6.718,6.862,9.132,9.165,7.908,7.965,features2_multi_cutoffs
MAE_features2_multi_cutoffs,6.967,4.788,7.576,4.843,5.45,6.431,4.958,5.967,5.387,5.856,7.14,7.366,6.5,6.313,features2_multi_cutoffs
RMSE_new_tunning_params,9.519,6.432,8.758,6.432,6.944,7.695,5.965,7.12,6.41,6.525,9.328,9.697,8.091,8.435,new_tunning_params
MAE_new_tunning_params,7.204,4.906,7.889,4.97,5.229,6.337,5.058,5.686,5.171,5.503,7.235,7.811,6.677,6.754,new_tunning_params
RMSE_new_f3,9.054,6.387,9.011,6.625,6.931,7.472,5.899,7.121,6.483,6.537,9.267,10.091,8.053,8.559,new_f3
MAE_new_f3,7.064,4.836,8.09,5.081,5.271,6.143,4.97,5.732,5.311,5.452,7.307,8.007,6.661,6.917,new_f3
RMSE_f3_cutoffs,8.757,6.3,8.558,5.945,6.84,7.501,5.751,6.596,5.907,6.463,9.104,8.841,7.818,7.622,f3_cutoffs
