,D_NO2,N_NO2,O_NO2,S_NO2,W_NO2,D_PM10K,N_PM10K,O_PM10K,S_PM10K,W_PM10K,N_O3,S_O3,N_Ox,S_Ox
RMSE_f0_add,10.513217372839954,6.243969564952164,7.626505977157312,7.9351365336338215,7.765348415151614,13.847891468094982,9.949572097500923,12.58016484063623,14.34642526125244,12.064932981612579,12.684473191351486,13.61752801469465,11.148923396946362,10.122371009507942
MAE_f0_add,7.953644659888674,4.5225688632115615,5.801559161573406,5.7029990585769434,6.037114859401919,8.510638322181782,6.459416081896823,7.080676853406768,8.1492326108292,7.597693407885241,10.604328974236362,11.232019827883603,9.167177350334299,8.636626606193996
RMSE_f0_mul,10.811548977747746,6.452658612986773,8.888997466934073,8.254456585422949,7.741638153825967,13.747833459807744,9.971913697232683,12.585477109078775,14.185793865293629,11.829027894964398,12.528116501066464,13.487441637893122,11.121339974810484,11.039391737421505
MAE_f0_mul,8.423738042266026,4.703961633343041,7.32750508100293,6.060198950064146,5.982199464656798,8.201998087755076,6.331526496080174,7.264680584971625,8.130284804793735,7.459419276288086,10.47273086508221,11.135058062605438,9.155782918253385,9.467913778963938
RMSE_f1,9.700160054937067,6.8951952875209415,8.568597878505276,6.4781276431047115,7.483889906391695,14.092206972758095,10.150018996193577,12.720079544355446,13.417258879051618,11.212804998179099,10.385973647494856,10.314680248790037,8.322179354543918,9.030719046642382
MAE_f1,7.446303266565878,5.140003957198434,7.700174134743098,5.080263325095002,5.76297563082889,8.485239009857125,6.6497575270487355,7.7210675578791905,7.338717947546934,7.133223480711445,7.866277678212386,8.267168103095312,6.8319969567197445,7.187025179354038
RMSE_f2,9.777692046070664,6.896335532109672,8.597198371960308,6.4859238527561045,7.466454054024804,14.101813184340264,10.14792077531476,12.716464368388051,13.392077468194781,11.21277838789456,10.370217701111706,10.292522553918655,8.340715080761266,9.087964670685292
MAE_f2,7.537120336065941,5.141354008567014,7.727521177681229,5.08612486733076,5.7499557742743646,8.492593972754095,6.633032032443708,7.698649866790737,7.2945027732363705,7.139203118085114,7.855164549675073,8.252888196939333,6.847112159904764,7.238055696954945
RMSE_f3,9.344081363930954,6.879297962236636,8.850911151529067,6.688842927585011,7.530867027944834,14.010276324090071,10.129114596746389,12.660188369821043,13.383099946223384,11.175547331321507,10.3961799967911,10.807917378349547,8.299529993354254,9.246693661424564
MAE_f3,7.369406365877131,5.09748017725118,7.932648236305497,5.21305325873714,5.837283992247649,8.312995968551421,6.568607349772538,7.747237300640307,7.442831733264025,7.0818004466870335,7.944465946029582,8.523188609306878,6.820672568232067,7.390388640520978
RMSE_f4,9.396211027617596,6.922438158067738,8.891612141719225,6.715834467744245,7.572451797437377,14.013585785371955,10.115870647418873,12.708703196993772,13.510336009239673,11.289563991916877,10.323822219078668,10.848436923172649,8.30796821748879,9.12682000893762
MAE_f4,7.4256589175296375,5.115722173428273,7.963452830935695,5.237438318278571,5.865216553406593,8.3119898862111,6.570445531813244,7.717831413821893,7.5891757373899305,7.2312744470736865,7.892571052150139,8.50458854747299,6.805184630356213,7.327045266905277
RMSE_f5,9.223592979630645,6.883095116953621,8.681557213222616,6.168732014048139,7.626071261517789,14.088185452705133,10.110561968409158,11.980792772101417,13.33963906921972,10.775693268909947,10.329990061765642,9.604191382326263,8.260434583620942,8.00674491416384
MAE_f5,7.3036202770930005,5.097191047380635,7.761408779355276,4.906556627768755,5.962594840328737,8.337342274131556,6.46587947878569,6.69124611644498,6.603996269912817,6.576764582614955,7.892216990406178,7.732554326761048,6.781671954669291,6.115079473693221
