,D_NO2,N_NO2,O_NO2,S_NO2,W_NO2,D_PM10K,N_PM10K,O_PM10K,S_PM10K,W_PM10K,N_O3,S_O3,N_Ox,S_Ox
RMSE_extree_base_,10.026290894504534,7.218038488701113,7.679752181675352,8.22571397688459,6.296791623659382,11.881098504310048,7.904453838316024,15.252171507017282,10.270163783551835,8.422969033152958,10.541416105703343,8.410047304997358,6.399121580234266,13.01680644088032
MAE_extree_base_,8.091080857722107,5.501693911003642,6.0935198960179475,6.6728613346514525,4.97905677770897,8.625148219402213,5.350191609702078,9.661432913902969,8.363680251856657,6.16134938826035,8.013622855052855,6.635972553596094,5.172448022304112,11.592535548708243
RMSE_extree_1_,10.222008682746663,7.229727103612627,7.48754404930487,7.792719883566428,5.717096797435304,11.720206588763537,7.831715512167101,15.04003153887328,9.417643072235522,8.00142626427101,11.047147873135318,6.382385074673738,6.64719590262914,12.431653219480165
MAE_extree_1_,7.640145120569474,5.691519398164068,5.870108423414524,6.61749587446492,4.658849456666424,8.50021679855535,5.647104021254384,9.343274608225917,7.782809443814294,5.799465937945736,8.55597286654884,5.185124035602314,5.519329031955917,11.235306272817223
RMSE_extree_2_,11.140573346319632,7.286938920169797,8.323525493762642,8.372552854728514,6.131553293086068,12.48815865741483,7.888919947878852,15.912251842339941,10.506886814204359,8.980923456972649,10.301577874657834,6.2531313542114635,6.911149798040396,13.607910081474124
MAE_extree_2_,8.514802645525581,5.668620875542577,6.798728161332968,7.1073582361033,4.906479003793729,9.731623229772607,5.667021728512009,10.655114650227263,8.791955339970938,6.687044334149407,8.076389220740763,5.113707578032496,5.88697561492432,12.523626697534704
RMSE_extree_3_,11.130852250112094,7.2877745723082485,8.370354231646294,8.253087423916776,5.972267341286771,12.607170243007726,7.852149487378039,15.698442304791344,10.513188860498456,8.889517695733028,10.163523072198176,6.326324102693788,6.799103405748516,13.30713337307477
MAE_extree_3_,8.532186715515014,5.742757148013587,6.831678120479891,7.053508395219124,4.822212463702643,9.904109675792421,5.689975373422734,10.55148829320062,8.760003139037144,6.652438317694334,8.032717322737064,5.148373585319421,5.8191718693795735,12.24078147636131
RMSE_extree_4_,10.111873019099498,7.043701235374562,7.618815808868882,7.789052695270794,5.637209233909349,11.662184817723835,7.940376105764633,14.91065283935344,9.504329983639053,7.95547466063631,11.158309900885822,6.425026140456617,6.550148242552352,12.362512273533483
MAE_extree_4_,7.589410850206264,5.48692521076657,6.045912732387513,6.656707414376222,4.601617645561002,8.559916932216746,5.788724620321837,9.284363309368,7.777284738643967,5.895631880467215,8.608552711169386,5.218790109904787,5.400772649188103,11.147620976532957
RMSE_extree_5_,10.208185700083883,6.994810073850697,7.737158481353493,8.004298691840884,5.74781888285543,11.878197434034282,7.736363789084954,14.94817865721557,9.387621720204875,8.021568192812538,10.970721240568793,6.559294142466887,6.598314648468966,12.66398498564905
MAE_extree_5_,7.662811009122098,5.508864599233327,6.039186106173654,6.921546948009952,4.702856534956434,8.589316949201313,5.704774295385217,9.297503994897617,7.602878718267427,5.836432729777191,8.426718216595933,5.191091910840418,5.465074677458882,11.542916018502503
RMSE_extree_6_,10.141455529267512,7.023053208554006,7.750135357076475,8.135744144896703,5.674196456284619,11.814790252465915,7.887244046990125,15.226659189552553,9.545062599306934,7.927074015763285,11.089582822502443,6.800029328005507,6.604598851614926,12.592624743881693
MAE_extree_6_,7.573400863636175,5.498292010992715,6.058135955200093,7.054916691839548,4.664251466107591,8.485201081088618,5.739677639016575,9.483112820098446,7.710690373575805,5.807008244778892,8.479872941961109,5.380829684530797,5.486615626609205,11.416932878108405
