,D_NO2,N_NO2,O_NO2,S_NO2,W_NO2,D_PM10K,N_PM10K,O_PM10K,S_PM10K,W_PM10K,N_O3,S_O3,N_Ox,S_Ox
RMSE_rf_base_,10.227699163100638,6.964797797750758,8.063851977628563,7.9729287263296,6.400334680326998,11.879386271854699,8.088430356169509,15.887356760750105,9.900711356897167,8.548919819893172,9.790638305154603,8.29548576690848,6.278918918312898,13.274300517282175
MAE_rf_base_,8.27140151499526,5.402970862741409,6.353107055869492,6.423398434175946,5.030331396579405,8.716425058452614,5.658512243852129,10.279794220571192,7.915695632881163,6.141299354795144,7.259144566156046,6.421462425997638,5.184764927850331,11.658491534320689
RMSE_rf_1_,9.624031838700665,6.626322970782632,7.2662653185229535,7.2795474916997716,5.75367452206251,11.405662127762325,8.043969291991582,15.839013256653427,9.613001365831785,8.40703989025313,10.417608350512449,6.42064174979416,6.902196464441919,13.019264279868482
MAE_rf_1_,7.611239764803892,5.258241486727001,5.655485746048139,6.060800519923454,4.691711621348422,8.23308251845671,5.6922119674649805,10.479040185880214,7.678330124574295,6.017894413493629,7.719891598754428,5.006722697149945,5.774148357991297,11.617396733519305
RMSE_rf_2_,9.834194696504888,6.637104500938331,7.668301085607255,7.351068430429462,5.944628592314776,11.577238157306114,8.117064140231848,16.27782715539862,9.716427903350718,8.502848270280445,9.740037214159686,6.259865131751637,7.43407192975299,13.79640370807573
MAE_rf_2_,7.589704740960114,5.4094184803094905,6.07938434071834,6.125710662141232,4.79650454204009,8.37590166058402,5.666747967271103,10.927028284627772,7.9156967361131265,6.0961278363459845,7.2433003249311305,4.819154970922567,6.29848745789684,12.41600116665247
RMSE_rf_3_,9.908869806248903,6.615252155797931,7.6190675529648635,7.321481256280147,5.753636749076663,11.755626793233407,7.904514919690402,15.78527157025788,9.728183120817569,8.546108709549296,9.841414329602499,6.359362551304348,6.972129582062356,13.582507897604643
MAE_rf_3_,7.510095347439758,5.250762679119734,6.086508706762071,6.094969100618438,4.6619617312794235,8.61193663745889,5.6485275376472925,10.43361605588425,7.9562360759963235,6.0405271801283345,7.375635256493217,4.905381054207453,5.801888849218602,12.505183872966107
RMSE_rf_4_,9.561727624761701,6.7079311391625165,7.404821353036383,7.034100707049439,5.663954807064977,11.42583699414117,8.051487591551615,15.781199505319009,9.377714476225119,8.324325259975723,10.48923676308351,6.698636507519314,6.642475976304202,12.467200109023715
MAE_rf_4_,7.326597507732071,5.243387067479886,5.896202542950085,5.814515062700587,4.586570525547924,8.20914713573933,5.787416091758608,10.443530769836059,7.592538062862989,5.962299361155231,7.843196001974373,5.24019421921019,5.316245382733855,11.18058639835021
RMSE_rf_5_,9.505250347455098,6.7085271925115535,7.360520344813621,7.026598658584817,5.842176862521664,11.545756524352592,8.024761703670599,15.715162174827448,9.409068505528252,8.352400350577845,10.638046352893745,6.620450980867632,6.680716174265883,12.494065763242046
MAE_rf_5_,7.291937751553718,5.220214431374842,5.8542420729544205,5.831406099429636,4.781420952428392,8.281374706784506,5.740505904093517,10.454515188270411,7.569091780192478,5.9860960517159105,7.840188543646732,5.114143330306315,5.301995360003438,11.198098418645728
RMSE_rf_6_,9.567476524660085,6.7609868531157025,7.273938591842693,7.037202303216427,5.643692357888377,11.273755555248862,7.851314690974106,15.724954955450954,9.384718919503465,8.337989301043166,10.71287213725852,6.589477238078178,6.802330111693605,12.568063207776474
MAE_rf_6_,7.290462107240276,5.387024449791628,5.8303652247596105,5.821804068026423,4.5967816103652535,8.13181982811351,5.601441834321752,10.401565217658494,7.548245970153876,5.93979891252869,7.959822792938015,5.172600779094122,5.4482122737124365,11.349725028820629
