,D_NO2,N_NO2,O_NO2,S_NO2,W_NO2,D_PM10K,N_PM10K,O_PM10K,S_PM10K,W_PM10K,N_O3,S_O3,N_Ox,S_Ox
RMSE_xgb_base_,10.87452597715005,6.779896555890284,8.254636850152137,10.19396907255291,6.334924306260888,12.803630925501446,7.5782985951864115,15.261658727560958,10.910630745604097,9.051908084141731,10.050617667691608,8.06253242000619,5.815600483523794,13.016230818309221
MAE_xgb_base_,8.684698913944018,5.208011373825971,6.442495832414514,8.603221076249064,5.046865509076286,9.646772676802689,5.6745647070232605,10.00369485981481,8.698986356715483,6.495381374906652,7.566658285751251,6.269241340680516,4.7997873812363565,11.535402711210361
RMSE_xgb_1_,10.726508553123473,6.363428419776872,7.556876911541668,9.763911463014605,6.22287123623579,12.173787761931838,7.472032395253841,14.821837672589105,10.84827048814983,8.683235174842608,9.797503140031713,5.952783275726105,6.078769007865067,12.516406298752747
MAE_xgb_1_,8.44497201635383,4.872052313736859,5.890447705085304,8.551090105814314,5.166692457819321,9.189486489615048,5.731490687566062,9.668956407290288,8.523727837185131,6.497928325040032,7.603130696094646,4.903735813516281,4.902595950138585,10.997347576376521
RMSE_xgb_2_,11.50659935492658,6.7992361491407545,8.499700095182288,10.551813927554088,6.136165627517542,13.472695846360738,6.877900689316828,15.522396405258329,13.986664033473884,9.471009914496628,9.082396826828544,6.024478103460955,6.093005754522192,14.290836919727138
MAE_xgb_2_,8.991713714761172,5.447995993613747,6.651953463924631,9.26229786589858,5.058419349562702,10.837779402711753,5.357963980903266,10.528690578292846,11.164977360453888,7.282767535232544,7.1288786568014695,4.940870135157866,5.131816645822321,12.889799004663802
RMSE_xgb_3_,11.822321953698657,6.493577126031066,8.581370084672905,10.588162274834383,6.417074917407614,13.582872141344774,7.338174630697652,15.58718809242823,13.039800637349826,9.41088839981261,9.565219091908505,6.175833740552531,6.278161765780879,13.234321453093196
MAE_xgb_3_,9.11566534874411,5.068095326667337,6.857334665031881,9.244519891014546,5.2441868154988,11.003768614512722,5.821389121168788,10.641708667654598,10.74593900766889,7.394489922625374,7.204343981427719,5.141321226671556,5.284253901642204,12.002828378561578
RMSE_xgb_4_,10.931557894072,6.553596405088458,7.6066271692906255,9.677709729052511,5.799424811037587,12.17767859303444,7.1767961635321305,14.843782632379792,10.80631248188038,8.554574307425284,9.947236647143763,6.073569710754074,6.565674759234906,12.143765059629139
MAE_xgb_4_,8.560537137540928,4.909326528120153,5.882673498443602,8.421032616643567,4.733158304887659,9.340048522857664,5.731758326445726,9.887428294088025,8.595486946398568,6.47603040600227,7.483330332983039,4.807867737340592,5.2384082959903475,10.765521318172677
RMSE_xgb_5_,10.792814003830465,6.528086103504114,7.5773794740030675,9.718198268426862,5.78050679319672,12.244614417350531,7.267288368734879,14.69992981180688,10.834339612809714,8.221580985216221,10.0610997338501,6.148762517721535,6.5744233389484865,12.09362982898232
MAE_xgb_5_,8.44175116716811,4.947815343613569,5.894721264467127,8.400417137118168,4.720914593873864,9.341525696443444,5.7308820259705495,9.640690981774721,8.555747562027877,6.078765174065984,7.628439384743992,4.927395720638725,5.225624083024327,10.66062088283045
RMSE_xgb_6_,10.841038537653127,6.6175014318197904,7.533101107843495,9.54877728155665,5.805169119950752,12.360050358743635,7.5895245839859955,14.780677236734624,10.72943375216783,8.578112833079846,10.19942209330385,6.232041839097817,6.218855321241761,12.156001465787865
MAE_xgb_6_,8.499615749005486,5.094616893411075,5.8962720783395195,8.313032761953913,4.755195114705702,9.344734178867114,5.824029822713605,9.777489705558326,8.573017477045397,6.483077301870908,7.759993335520485,4.999163543939254,4.953476048249368,10.831353156605438
