regressor,D_NO2,N_NO2,O_NO2,S_NO2,W_NO2,D_PM10K,N_PM10K,O_PM10K,S_PM10K,W_PM10K,N_O3,S_O3,N_Ox,S_Ox
DonBosco_RH,0.0007073990366732801,,,,,0.004613541666400052,,,,,,,,
DonBosco_Temp,0.010019048367044288,,,,,0.009347378900625222,,,,,,,,
Nord_Precip,,-0.0105208991822296,,,,,-0.11450441813955635,,,,0.0626406474227449,,0.04713914531586093,
Nord_Pressure,,0.003708703651266405,,,,,0.015173421009276405,,,,-0.0023552177584169327,,-0.00027568740348825013,
Nord_RH,,0.002398209651344244,,,,,0.007072271695726583,,,,-0.018710409463887304,,-0.011715643238708256,
Nord_Temp,,0.0017229120286542494,,,,,0.007208061567558462,,,,0.007974571864622776,,0.00467276994669144,
Nord_Winddirection,,-0.0014960159328342314,,,,,-0.002478155313214281,,,,0.0002821027830885157,,-0.0004320624486872962,
Nord_Windspeed,,-0.15257272771009772,,,,,-0.07321718843287095,,,,0.12548794156863782,,0.024473409673573917,
Ost_Pressure,,,0.001654741461616199,,,,,0.00821113832179667,,,,,,
Ost_RH,,,-0.0006901181715979228,,,,,0.000148820725066919,,,,,,
Ost_Temp,,,0.002908734093855307,,,,,0.007495846871900702,,,,,,
Ost_Winddirection,,,0.0004608231305096358,,,,,-0.000299129863389757,,,,,,
Ost_Windspeed,,,-0.7747714302797576,,,,,-0.7670985748508156,,,,,,
Sud_RH,,,,-0.007266643266017883,,,,,-0.006159577451178881,,,-0.012603701686722427,,-0.010230043435804612
Sud_Temp,,,,0.00015959070851448833,,,,,-0.002673489323088101,,,0.00885991445463686,,0.003809041694669956
Sud_Winddirection,,,,0.001980641397030258,,,,,-0.0011007560518441182,,,-0.002294753159887302,,-0.00037264640754021655
Sud_Windspeed,,,,-0.5735626761974402,,,,,-0.4583189212401625,,,0.4156692297232878,,-0.022737368306644534
West_RH,,,,,-0.003751068407787796,,,,,-0.0008246668050004569,,,,
West_Temp,,,,,-0.00019678413041705333,,,,,-0.0016014257544796492,,,,
West_Winddirection,,,,,-0.00030193821810969087,,,,,-0.0017033840983165548,,,,
West_Windspeed,,,,,-0.43574567376763995,,,,,-0.3114572195374922,,,,
