,D_NO2,N_NO2,O_NO2,S_NO2,W_NO2,D_PM10K,N_PM10K,O_PM10K,S_PM10K,W_PM10K,N_O3,S_O3,N_Ox,S_Ox
rf_RMSE,16.217228957690295,8.760019390295836,8.068041446051554,11.402981221343396,10.319176408637556,14.728708570085974,9.752313761667864,11.704937750958091,13.651511338428955,11.284689264002905,13.342444585190432,9.927996157545724,10.26450527457324,12.105321277827434
rf_MAE,13.448490055041097,7.011851718790131,6.543489584509593,8.888573449976258,8.125277606739726,10.919875903923288,7.320606691161046,8.636724990389041,10.143479717959973,8.357941562728767,10.055572956045124,7.414840668183847,8.403353660234883,9.899238793429953
base_RMSE,8.000044460235678,7.857207666453903,7.571350767582268,8.220712080285361,8.522935047267984,12.487960225633016,9.681563903834087,13.585676985829586,14.814576102585445,10.950102125500004,9.798133218054168,7.695327191226017,7.631558126662402,8.559285339222145
base_MAE,6.385822145954945,6.281393212033723,5.672858085633964,6.341213080280454,6.819696310834247,10.11915426523402,8.373959309276083,10.821462042557807,12.074135754338634,8.956970898768231,7.985279571293873,6.31060982125843,6.2490338265540855,6.548460803178718
add_RMSE,10.590856263611627,7.174306612459817,9.716244230669252,8.558152657443152,7.551963814360131,13.252114185280353,9.143492726558215,12.468556412818646,12.562808364972014,11.077144429377471,10.570395476820291,9.46116488014992,8.827601613090062,10.347190510137121
add_MAE,8.017339522362173,5.2042608901277,7.6615989913703615,6.661930583157956,5.536040369459767,9.793850068118202,6.563931002784324,9.206419506130183,9.348827229624233,7.9614108791024645,8.250588596392987,7.219590513915559,6.95475228144493,7.955917275444816
mul_RMSE,9.226360029243063,6.585134944833396,11.596731293375928,6.977161229595922,7.131177440608487,12.865295037583326,8.840562843536917,12.425400506573466,11.487305504331276,11.06629920959563,10.765709636632959,9.233386699953808,8.913499771033292,10.686021700370016
mul_MAE,6.9646947051011425,4.797231322411765,9.304917889269886,5.218979475549719,5.231435460255373,9.177948979063936,6.196650872315842,8.706170398925927,8.235646386474045,7.589903438949415,8.409360225334083,7.055204859833888,6.997495931450826,8.241968986369274
vacay_mul_RMSE,9.296576444065838,6.602007429044803,12.669153017877358,7.057610415430725,7.150432614771507,12.820115130146363,8.83076347995082,12.795834313815343,11.489497892942289,11.13314423163652,10.843060067337492,9.344054351863571,9.022880626928485,10.627618893160886
vacay_mul_MAE,7.016696489114961,4.8362750204925264,10.377977093180723,5.291502377922371,5.253922702740604,9.125785887682147,6.1812353238753905,9.03249608429655,8.249062121124767,7.613210429796247,8.546103046655842,7.153256746087581,7.080582939826315,8.208346059062606
