,D_NO2,D_NO2_pred,N_NO2,N_NO2_pred,O_NO2,O_NO2_pred,S_NO2,S_NO2_pred,W_NO2,W_NO2_pred,D_PM10K,D_PM10K_pred,N_PM10K,N_PM10K_pred,O_PM10K,O_PM10K_pred,S_PM10K,S_PM10K_pred,W_PM10K,W_PM10K_pred,N_O3,N_O3_pred,S_O3,S_O3_pred
2020-01-03,56.696457,58.02618764139535,39.33407,37.883876357339844,44.132984,42.25804791732951,42.72917,47.35048483437549,41.950268,43.5023771080635,51.521755,44.71759029940567,30.923414,32.47955466288134,46.38846,36.77022175736669,56.98233,51.26296659820822,45.63737,37.821561216333215,9.617968,14.715434177401672,3.5373518,7.645473023913993
2020-01-04,66.76679,57.1703433804339,43.03236,36.36956814341491,47.897724,41.555264809106774,48.308884,45.79008376666388,49.09033,43.32920771483824,52.611362,45.54930866759885,34.16807,32.49289376423562,37.184284,35.183992609925504,57.270626,51.573476705708266,38.99332,39.2897878207879,6.6179776,17.70793347941229,1.2217374,8.358451297422391
2020-01-05,52.03786,54.777618499729236,35.74735,32.593179417754094,42.12787,40.349204039835406,39.910446,45.01973825685983,42.618286,41.53451638437718,40.98976,41.6864485985008,28.522642,27.1547182878736,35.905117,35.85222815281115,51.025585,45.680741233397576,38.22685,32.69341137898628,20.701195,20.567791836177612,4.7935486,8.047599804267538
2020-01-06,32.097057,31.549744273254298,13.99888,22.977939225712895,21.19696,20.88026350996673,20.614933,20.448571784081732,17.250006,18.575656570207013,16.188208,20.218510039451942,7.430359,16.0236897410937,16.606459,20.900321102649063,13.068683,19.19268157602398,12.079635,14.63280247667081,55.537983,39.54861043423222,46.128056,42.153286867569975
2020-01-07,49.63948,59.77698281200875,30.543589,37.36876136312489,37.69271,42.2410483820767,36.684887,49.37625715198736,37.704323,43.65936143892412,29.436285,46.001234578554254,19.976086,29.376558384001402,30.604795,32.18849525718648,32.939518,49.92693938745662,25.352188,37.450310438889744,22.510405,21.279771952419228,13.748825,10.843530769286287
2020-01-08,64.12843,59.7128337215617,44.953682,37.57866764447282,49.06305,42.852823383210385,51.383633,49.30449611115097,48.599033,44.041380070154894,53.685146,47.01514381350587,36.821316,35.11679921853727,53.981754,38.168112995258255,58.98427,51.49218987402267,44.888523,39.769944562845644,4.873433,16.04098494630923,2.4383104,7.500572550725567
2020-01-09,64.87026,59.390367999877434,44.594982,37.983433202457384,51.32696,42.96231410959208,52.263424,49.202298553334195,49.558235,43.208859561729184,48.381897,46.03047540368968,35.41299,35.094282592004475,46.789978,37.72112017089595,57.86514,51.18921595666834,44.134922,38.07065583140811,4.713582,16.527610365790366,2.1115322,7.039601557306402
2020-01-10,66.33663,60.07585425169902,49.65046,37.70885562614841,54.77513,43.33203440132023,51.554615,49.06094285408257,53.51138,44.37796353650464,67.240555,43.7240976338351,48.367977,31.100127310396484,73.73369,39.36875608667844,64.95553,51.11299304021066,57.298016,37.625879278184435,4.50433,15.314707022800912,1.9354593,8.926239163689091
2020-01-11,61.825607,58.749227106007204,42.477493,36.676620124296385,48.775234,42.82428527713307,50.124207,48.94119253658443,47.0037,44.098377413863545,53.2289,43.6295486574976,42.885498,29.204810716418507,51.62097,38.425643614102746,64.31597,50.8921078581061,45.110165,39.54950354140372,5.514329,11.755554885933982,3.1464171,5.57576435635732
2020-01-12,51.574104,53.86227806543228,31.092014,31.835692515144554,37.27209,36.09222152891167,36.98433,43.82351575141188,36.511223,32.776665090239845,40.723354,36.641544396778485,25.634468,23.36144849071223,40.849026,32.56481056169112,50.168533,36.82871652268184,32.491646,23.53411512868051,22.911798,21.239116928912296,11.966487,15.619343273518806
2020-01-13,45.311913,43.852882391624114,31.482796,29.26865166322192,34.984062,37.45992685217586,33.87135,44.854334252591656,35.27165,36.63357941893781,29.861776,35.519923129032726,22.639826,28.597812827968912,28.177256,31.162150749847115,35.38956,44.384990504380404,27.042002,30.268357523413655,13.969564,17.7353079778355,7.6884985,6.8834015273114755
2020-01-14,64.23272,58.88311520331476,46.679157,36.09962269073204,49.939552,41.992984340444856,47.533073,48.65704757412181,49.082695,43.51699368585255,59.957397,45.155536121302355,37.09736,33.59193112880726,60.127586,34.33057822010658,58.096504,50.22835497631438,44.530025,37.417686025041064,5.3683434,16.646083293131394,2.705021,6.552139872296186
2020-01-15,45.04219,54.915471858232515,43.12841,37.12089112775024,45.211987,39.330972240459964,39.725452,46.30567434603232,40.71115,38.1340891849994,47.552048,47.50660983531708,48.595078,35.99828047779886,49.411846,35.76183873087745,46.41009,48.86800885740558,45.867252,38.793359653059206,5.046732,10.1276809587673,2.0821714,5.557380674423592
2020-01-16,47.643887,55.37438058911543,45.53435,37.31226498828561,46.51816,39.863318877359475,41.629204,46.15660324715896,43.983982,39.11755821697502,46.133423,48.60264276727534,50.397984,36.95404804144457,49.627167,35.76849974972377,45.01843,49.528321635720175,46.717754,40.23251105225743,4.3558626,11.586883857014257,1.4041864,8.030336034135155
2020-01-17,60.84508,60.31161125544029,53.359676,38.54588378413813,55.19347,42.78123173821476,51.28203,48.5239240665142,55.235966,44.2630682822184,74.17872,43.58241572226487,65.55811,31.090475892735256,88.252464,38.93841682024203,67.86798,50.52381212076704,69.467384,35.986694345279496,4.3616037,15.903504204544909,1.0758849,8.629214769688994
2020-01-18,41.813423,55.37334290274892,36.559204,36.98751809041229,36.855995,40.49948430505361,31.5618,45.00127642889108,34.62852,39.01713371893234,37.085896,40.5129582941517,39.151184,33.233273337014104,37.441143,37.35800133977074,37.129185,45.03758009759222,37.460148,34.70951898980759,4.4870925,6.828683547101282,2.9804995,5.570086949937804
2020-01-19,33.133945,47.37319609360152,30.504265,31.259356565518413,31.220049,33.40668182366086,28.141148,39.410408787178575,28.318157,34.35870621632021,32.891125,40.96082388417082,37.87402,34.46062747661084,32.71983,33.45725615674623,32.359207,40.56346754357562,34.256607,34.45351048747134,3.6400175,6.6831563464717805,1.6125535,4.445841189687796
2020-01-20,34.47677,48.344126213516795,25.969069,29.192307377229096,26.762945,28.78110183108682,26.045698,37.2774334261136,27.810833,37.64973602841592,33.91808,32.32527194675823,25.151657,23.916805856873168,37.082996,24.313871292963988,27.793915,32.902087697006294,29.851694,27.955390842642263,19.163998,22.803240244954246,12.762845,21.074405329944554
2020-01-21,55.060154,59.91452386546821,37.52339,36.79483150779671,42.125793,40.55527674152729,42.590572,49.55620298646328,41.64163,42.95972648057957,34.08925,43.39179953455373,23.72257,28.10788149244957,35.116318,35.75043852336152,34.824387,50.81213936526736,24.856071,32.57463094683551,15.028152,19.211550872905658,6.494316,7.00446487159054
2020-01-22,54.678368,58.546285078621565,40.612656,37.592178315910125,45.539806,42.48825941914557,40.095203,47.42608774379829,43.03463,42.301689994014296,44.144993,46.204863407214496,33.295288,30.634209584147467,43.080105,38.237264414968095,44.539326,48.807187689284426,36.589386,37.000778615464625,7.664999,14.964616986087144,5.844525,8.5944212290466
2020-01-23,47.21304,55.880240638200526,34.287086,38.066021696420115,37.096806,40.571795517039874,39.098682,45.16311735469662,36.919014,41.81644019518823,45.298878,49.06626729710012,36.1389,37.31060937984784,33.154457,36.657221341240685,45.29629,50.77818766787476,38.234486,40.5473521050683,6.6970515,13.940270618282774,3.7709749,11.348238773715853
2020-01-24,55.48096,57.09634657396624,40.79714,38.39704432237143,47.581272,41.889149432201386,44.603905,48.206921652376295,44.942345,42.29206885575163,48.081577,46.43997538701934,39.485985,34.50392539311385,49.494167,37.66347778803486,46.871704,49.39221186298597,41.672215,39.36312483171547,6.964465,11.454360097317416,4.403727,6.143947099876644
2020-01-25,47.031765,55.117465631273376,39.313778,37.486470625389686,40.074753,38.01053069064379,39.40177,46.65060824497263,39.593544,40.919824253804194,39.35687,50.24861665775413,40.083088,37.30612284214981,37.468502,36.56098766830718,39.363483,49.7792663939664,39.079548,40.95423151114024,3.663823,8.334091844401765,1.7036035,4.0901301735861235
2020-01-26,42.957996,50.77474590515163,39.78917,33.352764767395364,39.458004,29.231250331523064,35.605682,45.476295330452935,38.047207,40.22778330759684,50.889057,41.725436580412754,54.25156,35.848093455673265,50.1022,31.939777213910485,47.168095,44.436934664902026,51.87729,38.30816440015023,3.9870684,10.939953996848145,1.395037,6.594209081904243
2020-01-27,30.404928,46.79484719882999,30.58833,28.462697119497214,30.772139,28.907381102630104,27.278229,39.43529190980366,28.583115,32.50097522185794,38.58186,39.577586115829675,44.639507,34.302434538032415,40.882298,26.325017347739003,38.883106,46.15304732120153,42.271008,34.048761344080816,3.9211912,8.48473675302112,1.3960994,5.387554503299205
2020-01-28,42.009933,56.42920823281449,36.562614,35.70073538759864,38.221775,39.50408198810399,31.170353,43.1901636430484,37.342556,41.0770837197523,49.81483,43.62502403606929,51.99811,32.60052803728093,44.60261,34.90365117805906,43.98079,44.37671303504316,45.900555,34.980657632065366,4.612535,10.129515485241606,1.3375072,7.576223911824333
