,D_NO2,D_NO2_pred,N_NO2,N_NO2_pred,O_NO2,O_NO2_pred,S_NO2,S_NO2_pred,W_NO2,W_NO2_pred,D_PM10K,D_PM10K_pred,N_PM10K,N_PM10K_pred,O_PM10K,O_PM10K_pred,S_PM10K,S_PM10K_pred,W_PM10K,W_PM10K_pred,N_O3,N_O3_pred,S_O3,S_O3_pred
2020-01-03,56.696457,58.632651974422195,39.33407,38.4906732454837,44.132984,42.08024242146094,42.72917,49.302270722730505,41.950268,44.57561304673664,51.521755,46.63193556428969,30.923414,28.934112857198485,46.38846,34.913698313559216,56.98233,52.25532137014174,45.63737,39.34485530711221,9.617968,20.20908396603861,3.5373518,6.9150914233513
2020-01-04,66.76679,58.835236327141686,43.03236,37.94353337020748,47.897724,42.13681351398866,48.308884,46.05218334219219,49.09033,44.71465390351597,52.611362,46.81798149965507,34.16807,33.041483347478106,37.184284,34.87203829092435,57.270626,53.076709092824885,38.99332,39.59500832825882,6.6179776,15.43840392322099,1.2217374,10.157322260682967
2020-01-05,52.03786,57.057979197610216,35.74735,33.4406837350574,42.12787,41.3112346333744,39.910446,48.22032389544196,42.618286,43.034290603884855,40.98976,44.283944934323586,28.522642,25.018171153365255,35.905117,37.04522356684786,51.025585,47.366804875089755,38.22685,31.145057518142096,20.701195,23.73393960416835,4.7935486,8.971175012816278
2020-01-06,32.097057,36.00510708866048,13.99888,20.674946398431196,21.19696,23.73312491566986,20.614933,19.726656272157292,17.250006,21.19647098900026,16.188208,23.331208136532684,7.430359,13.800332927728684,16.606459,24.796482254714952,13.068683,18.924878110915486,12.079635,16.799883646655186,55.537983,41.095945911838406,46.128056,43.13637808097605
2020-01-07,49.63948,60.289146869624254,30.543589,35.57493821364379,37.69271,43.40508168481448,36.684887,50.25591877729506,37.704323,44.6432665356258,29.436285,44.86401022487375,19.976086,28.010065466756863,30.604795,33.89090884571369,32.939518,50.67274791681324,25.352188,37.013904893870574,22.510405,20.563602748381392,13.748825,9.398435724558395
2020-01-08,64.12843,60.604782556747274,44.953682,38.39393752660957,49.06305,42.884137660015746,51.383633,50.41952597835796,48.599033,45.30893416688525,53.685146,48.31324079869728,36.821316,35.45542195311574,53.981754,34.985892571564705,58.98427,52.65314884158753,44.888523,39.42205124964627,4.873433,15.438372049623506,2.4383104,7.70628169600393
2020-01-09,64.87026,59.91880782406344,44.594982,38.742681553555684,51.32696,42.80785938426554,52.263424,50.45287960076032,49.558235,44.37239184884313,48.381897,47.456142389166494,35.41299,36.048030680523055,46.789978,34.489329579316816,57.86514,52.15247168879225,44.134922,37.08156774158528,4.713582,14.240531943172963,2.1115322,6.567254480862709
2020-01-10,66.33663,59.55786480016472,49.65046,37.501623145922984,54.77513,42.605226719416656,51.554615,48.7795225498309,53.51138,45.30238137554236,67.240555,42.34389869659986,48.367977,32.24398748154923,73.73369,39.95423902043861,64.95553,52.58013797006703,57.298016,39.386652798529546,4.50433,15.075681394050829,1.9354593,9.972089998323472
2020-01-11,61.825607,60.08264252796853,42.477493,37.522386450586204,48.775234,42.30052177217219,50.124207,50.273847678112624,47.0037,44.003397356520324,53.2289,43.546070434277674,42.885498,24.43935362246655,51.62097,38.75142723290487,64.31597,52.66484417558786,45.110165,41.59220759538994,5.514329,9.550157328799461,3.1464171,5.422225633674332
2020-01-12,51.574104,54.33900356676725,31.092014,33.04383738134476,37.27209,39.288805634816484,36.98433,45.60772631959873,36.511223,33.74153612643397,40.723354,40.036646904166616,25.634468,22.479495818545217,40.849026,34.6064766519237,50.168533,35.68564252080373,32.491646,21.19864614742396,22.911798,22.840536763820854,11.966487,13.417025821224179
2020-01-13,45.311913,42.22030270811279,31.482796,28.59564237043441,34.984062,37.60274798492158,33.87135,43.82677618549867,35.27165,37.42957306735307,29.861776,39.568413546908076,22.639826,31.372309954969946,28.177256,34.246186687628885,35.38956,48.39328878701668,27.042002,28.58783012043356,13.969564,16.179889091184528,7.6884985,5.673483278405113
2020-01-14,64.23272,59.56746534916034,46.679157,37.67577183156595,49.939552,42.93964888292415,47.533073,48.6471519004475,49.082695,44.41142171005652,59.957397,46.56553150701552,37.09736,35.234568256084,60.127586,34.784627199294405,58.096504,52.848977500904546,44.530025,38.856832356950754,5.3683434,15.141633703191271,2.705021,6.425293263391868
2020-01-15,45.04219,51.96835521057629,43.12841,37.70224323209114,45.211987,34.662501842567146,39.725452,46.79799535757157,40.71115,36.32045608890442,47.552048,44.31789771111312,48.595078,36.346788678026144,49.411846,32.00211798889282,46.41009,50.41483528360639,45.867252,38.00725573434526,5.046732,11.105647233619715,2.0821714,5.723759939729584
2020-01-16,47.643887,56.1941652982196,45.53435,37.960772009743195,46.51816,35.515253371945484,41.629204,46.42632724545623,43.983982,36.95795248757399,46.133423,45.44172787004077,50.397984,37.392020236333124,49.627167,33.34827661235381,45.01843,49.86444415772182,46.717754,41.30945110561653,4.3558626,11.756827343782835,1.4041864,6.951295202548585
2020-01-17,60.84508,60.48107209174609,53.359676,38.713146405624045,55.19347,42.879134553876256,51.28203,48.95839432480571,55.235966,45.15113772722314,74.17872,42.81055900558821,65.55811,30.92198216106809,88.252464,38.42673377035182,67.86798,52.67407166629773,69.467384,33.22389792846635,4.3616037,15.40579706616822,1.0758849,9.818718599985468
2020-01-18,41.813423,53.46509565484651,36.559204,36.816776624347646,36.855995,37.72539145219689,31.5618,44.00131830663176,34.62852,35.863464382532456,37.085896,40.527577386656965,39.151184,35.58532098233615,37.441143,35.221625578443536,37.129185,49.44850851613629,37.460148,35.59645349159398,4.4870925,5.7462382799138565,2.9804995,4.423957971929255
2020-01-19,33.133945,48.03875262155157,30.504265,33.201278685990474,31.220049,32.98687433471428,28.141148,35.95907183312867,28.318157,34.156259551587866,32.891125,39.335767610596285,37.87402,35.69682063552895,32.71983,32.36861507647567,32.359207,42.87471627787102,34.256607,33.578170994227456,3.6400175,4.776008788187055,1.6125535,4.439320798822972
2020-01-20,34.47677,48.63561962043035,25.969069,31.47260267812318,26.762945,28.326731691917292,26.045698,41.356497652049654,27.810833,38.35846477124146,33.91808,37.670496463421074,25.151657,25.590976527352403,37.082996,29.71140080393148,27.793915,31.0138166813724,29.851694,25.92978360036063,19.163998,20.42198676933144,12.762845,17.468442275483604
2020-01-21,55.060154,60.16527304153311,37.52339,37.291375232299586,42.125793,40.69153097222405,42.590572,50.56665107949569,41.64163,45.099265283600175,34.08925,43.87300444416507,23.72257,28.97137846052346,35.116318,34.22972856502537,34.824387,52.26537969707454,24.856071,32.16509306729631,15.028152,17.325332459617304,6.494316,6.673129908656881
2020-01-22,54.678368,60.365508836543796,40.612656,37.98998878916406,45.539806,40.80960182256325,40.095203,48.35715921482232,43.03463,43.876797557915616,44.144993,47.39428816892129,33.295288,28.059977985323087,43.080105,33.6822861074105,44.539326,50.91416484419064,36.589386,36.47052166347835,7.664999,12.538104620607987,5.844525,6.923310260084858
2020-01-23,47.21304,56.5620904555344,34.287086,38.638217147735816,37.096806,35.35703336907894,39.098682,45.16790777158474,36.919014,42.10911472007059,45.298878,48.094136619355886,36.1389,37.601138232523994,33.154457,34.27090481897787,45.29629,51.282928925460794,38.234486,39.24051358200008,6.6970515,14.141101930104279,3.7709749,15.389139190160927
2020-01-24,55.48096,56.83512726146884,40.79714,38.52356361677316,47.581272,39.93322306482881,44.603905,48.844597689887834,44.942345,44.1105981449084,48.081577,45.63082618161693,39.485985,32.8892891377199,49.494167,35.31674150635107,46.871704,49.44095934178505,41.672215,38.550781157243776,6.964465,10.818933226159135,4.403727,5.772800225807304
2020-01-25,47.031765,53.28123575854366,39.313778,37.299817225017115,40.074753,33.08245528611083,39.40177,46.67410721499177,39.593544,39.09299491048487,39.35687,50.8753587647722,40.083088,38.153294880679915,37.468502,34.01844533540899,39.363483,49.81677342122505,39.079548,40.752423483616184,3.663823,11.370619471225794,1.7036035,4.925063684126546
2020-01-26,42.957996,50.58970470830186,39.78917,34.26747049047914,39.458004,33.13799587048067,35.605682,45.53649400390733,38.047207,40.905462796759934,50.889057,42.82761401705573,54.25156,38.10442180125033,50.1022,30.100731164954524,47.168095,47.82689826223961,51.87729,38.92784100217624,3.9870684,12.015393453392148,1.395037,6.951239109719028
2020-01-27,30.404928,45.83910202975002,30.58833,27.347901432247365,30.772139,29.97750246442387,27.278229,39.17276541282254,28.583115,33.72320908008626,38.58186,39.802775388997205,44.639507,35.55961216951054,40.882298,32.87323776717974,38.883106,48.61364791639238,42.271008,35.94262457168532,3.9211912,13.02496717313687,1.3960994,4.8983695940176055
2020-01-28,42.009933,56.26980689841254,36.562614,36.789846314108175,38.221775,36.48835570559006,31.170353,41.422033847477174,37.342556,43.12754794605214,49.81483,44.461994595089074,51.99811,35.73294883467898,44.60261,33.421830228791514,43.98079,46.45316589653437,45.900555,34.8420301501854,4.612535,6.5659201053238645,1.3375072,6.769314021262623
2020-01-29,51.116184,58.440167220076646,32.482693,36.796474850020395,41.629913,42.20048750429627,38.66333,46.27228543313438,38.67508,36.911586030816544,38.088913,43.97894643838011,27.581055,20.739381197682885,36.286118,34.683747977424346,32.991905,39.537525231830664,31.45079,28.454712998027713,17.96443,12.571646185113105,8.545547,11.954137421879382
2020-01-30,48.97617,60.59213212763571,30.605597,37.41643003484669,37.625595,42.203509524454134,39.6866,43.106054915051345,35.877773,39.437155980460915,29.81621,42.77774952212117,17.856417,20.978194186072145,43.98653,34.61948089846869,30.583153,32.341066233574765,23.807472,24.880458182967686,27.157818,21.749960385683753,14.901334,13.692434639165585
