,D_NO2,D_NO2_pred,N_NO2,N_NO2_pred,O_NO2,O_NO2_pred,S_NO2,S_NO2_pred,W_NO2,W_NO2_pred,D_PM10K,D_PM10K_pred,N_PM10K,N_PM10K_pred,O_PM10K,O_PM10K_pred,S_PM10K,S_PM10K_pred,W_PM10K,W_PM10K_pred,N_O3,N_O3_pred,S_O3,S_O3_pred
2020-01-03,56.696457,58.232967,39.33407,37.59959,44.132984,41.67758,42.72917,47.97852,41.950268,44.349907,51.521755,46.880325,30.923414,31.297745,46.38846,36.75165,56.98233,53.063763,45.63737,42.88016,9.617968,16.032145,3.5373518,8.527939
2020-01-04,66.76679,57.4161,43.03236,37.76705,47.897724,41.31653,48.308884,45.318996,49.09033,44.823936,52.611362,47.452183,34.16807,35.788525,37.184284,35.019836,57.270626,54.459988,38.99332,42.994595,6.6179776,13.629521,1.2217374,10.786489
2020-01-05,52.03786,52.024067,35.74735,34.15363,42.12787,39.222355,39.910446,42.061832,42.618286,42.623196,40.98976,42.917816,28.522642,25.065569,35.905117,34.27959,51.025585,47.206806,38.22685,32.642536,20.701195,21.653633,4.7935486,11.977212
2020-01-06,32.097057,37.74172,13.99888,13.12426,21.19696,17.7061,20.614933,15.479812,17.250006,19.907465,16.188208,19.79621,7.430359,14.862904,16.606459,21.99246,13.068683,17.808249,12.079635,14.374945,55.537983,41.843884,46.128056,42.7045
2020-01-07,49.63948,59.932793,30.543589,34.60956,37.69271,44.384796,36.684887,51.42497,37.704323,44.196484,29.436285,46.07951,19.976086,27.554632,30.604795,39.973152,32.939518,50.563694,25.352188,38.30911,22.510405,21.792288,13.748825,8.516523
2020-01-08,64.12843,60.61699,44.953682,38.84223,49.06305,44.15125,51.383633,52.682873,48.599033,45.679546,53.685146,48.009315,36.821316,37.098076,53.981754,40.554382,58.98427,54.03824,44.888523,40.639473,4.873433,13.616605,2.4383104,7.8266253
2020-01-09,64.87026,60.673412,44.594982,39.55263,51.32696,44.034637,52.263424,49.8097,49.558235,42.50436,48.381897,47.915943,35.41299,36.286713,46.789978,38.610268,57.86514,53.868896,44.134922,39.272984,4.713582,11.799352,2.1115322,5.5774364
2020-01-10,66.33663,59.59972,49.65046,38.736576,54.77513,44.677,51.554615,49.971943,53.51138,45.958378,67.240555,44.5628,48.367977,32.633472,73.73369,39.705486,64.95553,51.991707,57.298016,38.85281,4.50433,14.031097,1.9354593,8.179138
2020-01-11,61.825607,59.18079,42.477493,37.253647,48.775234,42.48194,50.124207,51.196877,47.0037,45.369827,53.2289,44.10539,42.885498,27.579313,51.62097,34.79212,64.31597,53.33872,45.110165,39.67382,5.514329,11.413866,3.1464171,3.512315
2020-01-12,51.574104,53.107677,31.092014,33.726063,37.27209,37.70105,36.98433,45.26326,36.511223,35.63861,40.723354,35.919506,25.634468,23.341978,40.849026,31.898577,50.168533,37.677994,32.491646,22.493708,22.911798,19.673677,11.966487,13.87818
2020-01-13,45.311913,46.55208,31.482796,28.330097,34.984062,38.247356,33.87135,43.63595,35.27165,35.831036,29.861776,40.61202,22.639826,33.03788,28.177256,31.053728,35.38956,46.705776,27.042002,29.710995,13.969564,15.9809065,7.6884985,5.373764
2020-01-14,64.23272,60.30093,46.679157,38.23459,49.939552,42.12659,47.533073,48.560364,49.082695,43.934643,59.957397,46.092327,37.09736,35.022278,60.127586,38.509445,58.096504,52.423874,44.530025,38.249653,5.3683434,13.490691,2.705021,6.2132964
