,Ost_8010_208,DonBosco_8020_110,DonBosco_8020_119,DonBosco_8020_122,DonBosco_8053_111,Nord_8010_205,Ost_8010_209,Ost_8010_213,Ost_8010_214,Nord_8020_102,West_8020_103,Sud_8020_107,Sud_8041_218,Ost_8041_221,Nord_8045_203,Nord_8051_101,D_NO2,D_PM10K,N_NO2,N_O3,N_PM10K,O_NO2,O_PM10K,S_NO2,S_O3,S_PM10K,W_NO2,W_PM10K,year,dayofyear,month_Apr,month_Aug,month_Dec,month_Feb,month_Jan,month_Jul,month_Jun,month_Mar,month_May,month_Nov,month_Oct,month_Sep,weekday_Friday,weekday_Monday,weekday_Saturday,weekday_Sunday,weekday_Thursday,weekday_Tuesday,weekday_Wednesday,season_fall,season_spring,season_summer,season_winter,N_Ox,S_Ox,holiday,holiday_school,DonBosco_RH,DonBosco_Temp,Nord_Precip,Nord_Pressure,Nord_RH,Nord_Temp,Nord_Winddirection,Nord_Windspeed,Sud_RH,Sud_Temp,Sud_Winddirection,Sud_Windspeed,West_RH,West_Temp,West_Winddirection,West_Windspeed,Ost_Pressure,Ost_RH,Ost_Temp,Ost_Winddirection,Ost_Windspeed,Cloud_Cover_Mean,Temperature_Air_2m_Max_Day_Time,Temperature_Air_2m_Min_Night_Time,Wind_Speed_10m_Mean,D_NO,D_NOX,N_NO,N_NOX,Nord_Radiation,Nord_peek_wind_speed,O_NO,O_NOX,Ost_peek_wind_speed,S_NO,Sud_peek_wind_speed,W_NO,W_NOX,West_peek_wind_speed
2018-01-01,663.0,534.0,624.0,668.0,467.0,352.0,344.0,364.0,341.0,622.0,816.0,384.0,175.0,459.0,376.0,543.0,53.747383,40.440525,37.721096,7.036987,31.846771,46.23022,36.244366,38.889137,5.1240497000000005,46.11469,41.510128,34.562756,2018,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,44.758083,44.01318670000001,1,1,84.52777,2.261216,0.0,973.63556,81.74543,2.9129248,188.78535,0.52526516,83.74073,1.8091245,190.73723,0.27793202,81.77561,2.5538836,201.43694,0.25195414,969.51874,75.07411,2.2340999,211.51604,0.25950995,0.8932963,278.74033,270.52847,1.6232057,86.69565217391305,96.82608695652173,8.826086956521738,22.565217391304348,13.995833333333332,2.2916666666666665,41.78260869565217,56.21739130434783,1.6041666666666667,66.17391304347827,1.3208333333333333,26.304347826086957,39.34782608695652,2.341666666666667
2018-01-02,927.0,924.0,772.0,1191.0,904.0,673.0,563.0,544.0,702.0,1181.0,1390.0,889.0,451.0,1070.0,755.0,1128.0,51.77644,77.87716,29.58132,18.24483,29.024567,43.595608,39.270805,33.764664,5.453191,100.739174,34.154236,77.95893000000002,2018,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,47.82615,39.217855,0,1,88.605225,2.9866953,0.0843614,970.133,80.83298,4.5682917,242.04047,0.5216646,90.8768,2.1037004,192.38564,0.32519296,82.241425,4.0998774,200.1993,0.4816811,966.00464,78.726006,3.497919,164.30768,0.35978886,0.50334483,279.71332,269.62915,1.5431632,115.82608695652173,123.8695652173913,62.17391304347826,72.1304347826087,43.04583333333333,1.4541666666666666,77.43478260869566,86.26086956521739,1.5125,95.43478260869566,1.0583333333333333,58.82608695652174,70.30434782608695,1.4166666666666667
2018-01-03,962.0,922.0,772.0,1206.0,883.0,699.0,587.0,553.0,711.0,1149.0,1358.0,885.0,453.0,1104.0,767.0,1099.0,59.53968,24.420555,42.818157,7.115455,20.965742,45.55858,20.557222,48.26708,0.814389,28.728418,44.639637,22.641233,2018,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,49.933612,49.081469,0,1,94.942635,0.9925058,0.0020862222,971.30585,95.09658,1.4576257,223.70158,0.32776424,99.231316,0.6450595,168.16408,0.14852248,94.90274,1.4288133,226.79387,0.24615441,967.1441,90.08023,1.2342271,179.138,0.26340535,0.7433143,278.92648,269.39212,1.7141474,110.73913043478261,122.0,16.956521739130434,34.78260869565217,46.24583333333333,1.9625000000000001,52.0,67.34782608695652,1.8,110.08695652173913,1.6333333333333335,31.043478260869566,49.30434782608695,1.9333333333333333
2018-01-04,978.0,941.0,801.0,1233.0,900.0,720.0,606.0,565.0,726.0,1176.0,1404.0,904.0,458.0,1126.0,776.0,1131.0,63.536797,26.73265300000001,40.65909600000001,10.103297,18.95001,48.95136,23.866076,48.392567,2.9528244,32.35178,46.37384,18.996656,2018,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,50.762393,51.3453914,0,1,86.232506,0.7898111,0.0041724443,966.84766,85.83533,1.0328195,222.11096,0.36469892,89.557365,0.20750041,213.91376,0.25993386,82.67744,1.2610344,187.59474,0.3152623,962.59344,79.68139,0.95550424,185.38194,0.28176582,0.7251151,278.94653,268.99817,1.5692042,178.1304347826087,182.08695652173913,52.608695652173914,67.78260869565217,36.545833333333334,1.325,88.34782608695652,99.21739130434783,1.2750000000000001,154.95652173913044,0.8791666666666668,78.56521739130434,92.6086956521739,1.3208333333333333
2018-01-05,1027.0,986.0,852.0,1278.0,946.0,743.0,613.0,604.0,762.0,1278.0,1468.0,956.0,475.0,1175.0,838.0,1238.0,75.50258000000002,33.555813,48.829678,2.5771222000000003,22.728468,54.156857,37.277836,58.238136,0.47931907,42.021458,56.0334,27.609415,2018,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,51.406800200000006,58.71745507,0,1,87.93966,0.8110221,0.0,965.76154,87.42727,0.97164494,247.34747,0.27066508,90.27833,0.16630574,219.14265,0.16373973,84.22993,1.2372929,210.13533,0.24262345,961.41406,77.760704,1.0608093,180.14146,0.23675929,0.6287602,282.6898,271.7087,1.5295163,242.52173913043478,236.2608695652174,67.3913043478261,78.17391304347827,60.42916666666667,1.9625000000000001,133.7826086956522,136.8695652173913,1.2333333333333334,231.0,1.0416666666666667,117.78260869565217,124.6086956521739,1.2458333333333333
2018-01-06,780.0,680.0,629.0,795.0,650.0,450.0,412.0,402.0,413.0,831.0,1088.0,575.0,250.0,599.0,523.0,758.0,78.56218,48.1978,46.381115,7.104703999999999,26.745321,55.928284,32.631527,59.77144200000001,1.0363154,56.480880000000006,56.54643000000001,34.569835999999995,2018,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,53.48581899999999,60.8077574,1,0,87.38686,3.38703,0.0,966.3399,83.93566,4.5611563,162.572,0.5590997,89.658485,2.5983856,211.93092,0.2282721,85.10497,3.7366855,170.70647,0.21558867,962.06244,80.16566,3.2938967,179.61171,0.27075237,0.6708198,282.85422,272.07578,1.5306776,61.43478260869565,71.08695652173913,12.956521739130435,24.26086956521739,67.97916666666667,2.5124999999999997,40.13636363636363,50.45454545454545,1.6375,42.65217391304348,1.6624999999999999,28.52173913043478,38.73913043478261,1.8958333333333333
2018-01-07,821.0,638.0,589.0,800.0,605.0,463.0,426.0,394.0,416.0,833.0,1071.0,565.0,241.0,607.0,528.0,739.0,40.92289,17.389495999999998,26.465763,4.7382054,12.135117,34.799126,15.669314000000002,28.386654,4.051973,19.50867,30.2654,17.143396,2018,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,31.2039684,32.438627000000004,0,0,86.52905,4.882225,0.0,970.45996,85.33846,4.5467114,255.59973,0.88620585,86.65073,4.309671,281.0672,0.4530529,83.8077,4.7047524,141.71376,0.48587382,966.22534,80.50675,4.857566,274.0261,0.42818257,0.8946836,282.55496,272.86777,0.9421664,58.78260869565217,68.8695652173913,11.826086956521738,22.565217391304348,77.30833333333334,2.2375000000000003,24.0,33.78260869565217,1.7583333333333335,26.565217391304348,1.8,23.08695652173913,33.04347826086956,1.4541666666666666
2018-01-08,1229.0,1058.0,908.0,1435.0,1004.0,910.0,709.0,689.0,826.0,1422.0,1609.0,1046.0,527.0,1370.0,967.0,1360.0,41.604073,19.52023,24.9878,11.15729,14.620944,28.300539,16.271273,27.62973,6.858612,17.910118,27.941492,17.108725,2018,8,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,36.14509,34.488342,0,0,86.72281,4.848231,0.0,979.6575,82.82358,5.022737,236.88756,0.7816306,86.03567,4.480432,201.49748,0.5546251,84.80332,4.5380483,174.8612,0.29360428,975.6108,79.59252,4.746762,213.59082,0.5175866,0.92821664,283.35135,275.02487,0.94366103,108.30434782608695,110.52173913043478,44.56521739130435,51.78260869565217,52.449999999999996,1.55,61.391304347826086,67.65217391304348,1.4916666666666665,57.47826086956522,1.2541666666666667,56.69565217391305,63.26086956521739,1.2249999999999999
2018-01-09,1297.0,1084.0,917.0,1433.0,1035.0,932.0,735.0,712.0,833.0,1442.0,1657.0,1030.0,517.0,1389.0,941.0,1378.0,44.7359,29.215508000000003,30.431715000000004,1.9196113,24.825022,34.32931,26.894705,29.791168,1.6834054,29.829687,33.42887,26.754644,2018,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,32.351326300000004,31.4745734,0,0,90.95294,5.4084487,0.0,985.3042,87.20008,5.4891944,172.00978,0.41651788,93.19507,5.272313,141.36641,0.38285267,87.10435,5.6353555,148.94255,0.30030444,981.4212,87.646484,5.3272753,173.03168,0.5080642,0.9844872,279.17847,275.65012,1.355612,59.82608695652174,66.8695652173913,5.304347826086956,15.608695652173912,8.491666666666667,1.2249999999999999,33.130434782608695,39.95652173913044,1.4291666666666665,22.26086956521739,0.9375,11.565217391304348,22.17391304347826,1.1500000000000001
2018-01-10,1285.0,1095.0,913.0,1434.0,1028.0,945.0,740.0,722.0,844.0,1671.0,1665.0,1048.0,527.0,1428.0,974.0,1405.0,35.71924600000001,25.165619,21.732853,5.1733007,24.399015,25.594566,20.953758,25.998627,1.3046026000000002,23.443995,24.872938,25.582697,2018,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,26.9061537,27.3032296,0,0,95.52423,5.365763,0.06447553,983.674,95.85849,5.550987,127.58233,0.37082824,97.770226,5.404551,139.15103,0.28690997,95.631035,5.540966,172.2569,0.27261892,979.697,93.13502,5.478882,127.19657,0.40224898,0.9042379,280.25742,275.52444,0.8647798,59.08695652173913,66.26086956521739,17.130434782608695,27.17391304347826,25.916666666666668,0.9625,38.82608695652174,46.52173913043478,1.2041666666666668,29.130434782608695,1.0083333333333333,14.608695652173912,24.782608695652176,0.9291666666666667
