,N_NO2,Nord_Precip,Nord_Pressure,Nord_RH,Nord_Temp,Nord_Winddirection,Nord_Windspeed,weekday_Monday,weekday_Tuesday,weekday_Wednesday,weekday_Thursday,weekday_Friday,weekday_Saturday,weekday_Sunday,season_fall,season_spring,season_summer,season_winter,holiday_sunday,holiday,holiday_school,year,month,dayofyear,weekday,season
2010-01-01,37.758297,0.0,953.7937,77.251884,4.0359306,89.42938,0.9997001,0,0,0,0,1,0,0,0,0,0,1,0,1,1,2010,1,1,5,1
2010-01-02,25.938934,0.0,950.12506,81.564156,3.5223312,110.14704,0.79180527,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2010,1,2,6,1
2010-01-03,11.074873,0.0,961.61456,56.786457,3.1091044,227.5877,3.7434957,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2010,1,3,0,1
2010-01-04,18.268064,0.0,974.1582,49.110626,-0.7428071,242.49976,1.2802,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2010,1,4,1,1
2010-01-05,41.78149,0.0,972.7542,69.331055,-3.8673708,134.3239,0.7044521,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2010,1,5,2,1
2010-01-06,42.980854,0.022682706,965.8814,81.0825,-3.772709,189.38985,0.73439175,0,0,1,0,0,0,0,0,0,0,1,0,1,1,2010,1,6,3,1
2010-01-07,29.495953,0.047712505,958.42706,86.39167,-1.6200398,155.58334,0.28675625,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2010,1,7,4,1
2010-01-08,32.90979,0.0,967.18964,84.83104,-0.7785187,164.41165,0.39671507,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2010,1,8,5,1
2010-01-09,35.09085,0.26431602,966.63135,90.6727,-0.60845596,179.22627,0.25221625,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2010,1,9,6,1
2010-01-10,40.81042,0.12633127,960.0332,93.475426,0.5570455,145.2791,0.28756496,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2010,1,10,0,1
2010-01-11,32.572132,0.0082125,963.90424,93.135216,0.90783125,197.84605,0.32441872,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2010,1,11,1,1
2010-01-12,23.779999,0.0145333335,970.71454,90.87374,-0.10840801,128.0306,0.5749438,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2010,1,12,2,1
2010-01-13,30.789572,0.00795125,973.127,82.271454,-1.1066937,173.56337,0.40691045,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2010,1,13,3,1
2010-01-14,36.542126,0.0,969.3938,86.92333,-1.4376041,227.40807,0.38196662,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2010,1,14,4,1
2010-01-15,34.027664,0.0061264583,970.82715,83.71542,-1.3625625,218.85834,0.49123335,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2010,1,15,5,1
2010-01-16,25.595615,0.0020208333,978.8396,87.690834,-0.7897356,147.68169,0.45185006,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2010,1,16,6,1
2010-01-17,37.81808,0.0,984.02094,82.74897,-1.2758424,221.36629,0.46290687,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2010,1,17,0,1
2010-01-18,37.061916,0.05795,978.2083,86.54395,-3.4766452,188.77629,0.3328229,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2010,1,18,1,1
2010-01-19,72.69933,0.0,979.9375,84.75146,-1.196181,196.91272,0.35477915,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2010,1,19,2,1
2010-01-20,65.89148,0.0,978.7168,86.13645,0.8338635,118.78782,0.45638332,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2010,1,20,3,1
2010-01-21,51.439358,0.0,973.25,75.54604,0.6736815,236.6834,0.6761043,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2010,1,21,4,1
2010-01-22,47.258083,0.09112021,976.55835,87.41042,-2.194125,189.93788,0.5107937,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2010,1,22,5,1
2010-01-23,38.79872,0.0,981.7332,81.80958,-3.2111874,200.85625,0.50646454,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2010,1,23,6,1
2010-01-24,34.418087,0.0041708336,983.5479,85.45645,-4.51575,175.20668,0.44997892,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2010,1,24,0,1
2010-01-25,25.46383,0.0043,984.7563,81.53146,-4.5866876,183.77043,0.53589994,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2010,1,25,1,1
2010-01-26,34.02617,0.0,987.69794,81.0675,-4.941896,174.50415,0.5568208,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2010,1,26,2,1
2010-01-27,48.4734,0.03102292,987.90405,80.680626,-5.6888547,163.65877,0.44335786,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2010,1,27,3,1
2010-01-28,69.21107,0.0,982.33954,79.42853,-8.263812,161.53654,0.44809422,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2010,1,28,4,1
2010-01-29,93.462555,0.0,962.15186,81.02999,-6.352415,208.5559,0.3306946,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2010,1,29,5,1
2010-01-30,77.61596,0.0,953.9001,83.517715,-3.6036313,210.98283,0.3544308,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2010,1,30,6,1
2010-01-31,56.211494,0.0,949.49164,82.35041,-0.9682817,87.11245,0.6441917,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2010,1,31,0,1
2010-02-01,18.914236,0.0,958.7812,56.285824,-0.8240312,283.701,1.0068125,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2010,2,32,1,1
2010-02-02,61.173244,0.0,967.7415,67.349785,-4.376554,169.73857,0.67135984,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2010,2,33,2,1
2010-02-03,63.338924,0.0,973.0417,67.982506,-3.1714942,121.97904,0.81463146,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2010,2,34,3,1
2010-02-04,63.10574,0.0,969.43134,66.840836,-0.20391893,173.82288,0.76821464,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2010,2,35,4,1
2010-02-05,56.31106,0.0,977.34595,82.91729,0.37248394,224.8235,0.453081,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2010,2,36,5,1
2010-02-06,61.13235,0.030440211,972.13525,86.12354,0.024293892,145.20946,0.5121417,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2010,2,37,6,1
2010-02-07,35.872337,0.2630827,967.81665,92.01896,0.57705516,172.47156,0.4267167,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2010,2,38,0,1
2010-02-08,23.230835,0.0041708336,970.8623,80.92896,-1.9397646,196.6648,0.9099207,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2010,2,39,1,1
2010-02-09,27.610645,0.0,968.78735,78.91062,-4.6337085,193.54793,0.64258754,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2010,2,40,2,1
2010-02-10,31.524038,0.008147917,964.05414,79.781456,-4.4651675,240.7563,0.58144766,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2010,2,41,3,1
2010-02-11,39.36383,0.15089375,960.0418,84.536644,-2.6979268,257.97098,0.61197084,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2010,2,42,4,1
2010-02-12,27.665318,0.027111875,956.78735,78.22167,-1.2086122,300.6604,1.4213122,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2010,2,43,5,1
2010-02-13,46.710007,0.0,963.2564,78.14334,-0.4345915,169.7693,0.56984794,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2010,2,44,6,1
2010-02-14,22.80298,0.0,965.46045,61.284176,0.7980297,280.616,2.6364312,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2010,2,45,0,1
2010-02-15,28.2583,0.0,967.94586,73.90147,-1.8971144,191.80495,0.6188442,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2010,2,46,1,1
2010-02-16,38.070427,0.0,965.83527,77.15625,-0.9377697,134.12262,0.42315564,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2010,2,47,2,1
2010-02-17,61.18043,0.0,964.1877,79.80501,-2.4233968,225.4474,0.49093744,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2010,2,48,3,1
