index,D_PM10K_mean,DonBosco_Temp_mean,DonBosco_RH_mean,N_PM10K_mean,Nord_Temp_mean,Nord_RH_mean,Nord_Pressure_mean,Nord_Precip_mean,Nord_Radiation_mean,Nord_Winddirection_mean,Nord_Windspeed_mean,Nord_peek_wind_speed_mean,O_PM10K_mean,Ost_Temp_mean,Ost_RH_mean,Ost_Pressure_mean,Ost_Winddirection_mean,Ost_Windspeed_mean,Ost_peek_wind_speed_mean,S_PM10K_mean,Sud_Temp_mean,Sud_RH_mean,Sud_Winddirection_mean,Sud_Windspeed_mean,Sud_peek_wind_speed_mean,W_PM10K_mean,West_Temp_mean,West_RH_mean,West_Winddirection_mean,West_Windspeed_mean,West_peek_wind_speed_mean,DonBosco_Temp_min,DonBosco_RH_min,Nord_Temp_min,Nord_RH_min,Nord_Pressure_min,Nord_Precip_min,Nord_Radiation_min,Nord_Winddirection_min,Nord_Windspeed_min,Nord_peek_wind_speed_min,Ost_Temp_min,Ost_RH_min,Ost_Pressure_min,Ost_Winddirection_min,Ost_Windspeed_min,Ost_peek_wind_speed_min,Sud_Temp_min,Sud_RH_min,Sud_Winddirection_min,Sud_Windspeed_min,Sud_peek_wind_speed_min,West_Temp_min,West_RH_min,West_Winddirection_min,West_Windspeed_min,West_peek_wind_speed_min,DonBosco_Temp_max,DonBosco_RH_max,Nord_Temp_max,Nord_RH_max,Nord_Pressure_max,Nord_Precip_max,Nord_Radiation_max,Nord_Winddirection_max,Nord_Windspeed_max,Nord_peek_wind_speed_max,Ost_Temp_max,Ost_RH_max,Ost_Pressure_max,Ost_Winddirection_max,Ost_Windspeed_max,Ost_peek_wind_speed_max,Sud_Temp_max,Sud_RH_max,Sud_Winddirection_max,Sud_Windspeed_max,Sud_peek_wind_speed_max,West_Temp_max,West_RH_max,West_Winddirection_max,West_Windspeed_max,West_peek_wind_speed_max,year,dayofyear,month_Apr,month_Aug,month_Dec,month_Feb,month_Jan,month_Jul,month_Jun,month_Mar,month_May,month_Nov,month_Oct,month_Sep,weekday_Friday,weekday_Monday,weekday_Saturday,weekday_Sunday,weekday_Thursday,weekday_Tuesday,weekday_Wednesday,season_fall,season_spring,season_summer,season_winter,holiday,holiday_school
2018-01-01,81.6625,2.8666666666666667,88.45833333333333,30.354166666666668,4.4750000000000005,80.79166666666667,970.1791666666667,0.057499999999999996,13.995833333333332,237.5,0.525,2.2916666666666665,40.75833333333333,3.3666666666666667,78.5,966.0666666666666,156.79166666666666,0.3541666666666667,1.6041666666666667,104.26666666666667,1.9625000000000001,90.70833333333333,189.33333333333334,0.325,1.3208333333333333,80.06666666666666,3.9875000000000003,82.25,197.66666666666666,0.48333333333333334,2.341666666666667,-0.2,60.0,1.0,55.0,968.5,0.0,2.0,62.0,0.1,0.5,0.2,65.0,964.1,18.0,0.1,0.9,-1.7,66.0,80.0,0.1,0.1,0.5,51.0,108.0,0.1,0.4,7.7,95.0,8.2,96.0,971.8,0.75,51.8,354.0,1.1,4.6,7.3,88.0,968.0,300.0,0.8,3.9,7.4,97.0,314.0,2.4,6.8,8.3,96.0,322.0,2.7,8.6,2018,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
2018-01-02,23.8125,1.1624999999999999,95.0,20.654166666666665,1.6375,95.20833333333333,971.0666666666666,0.02916666666666667,43.04583333333333,223.20833333333334,0.3333333333333333,1.4541666666666666,20.416666666666668,1.4083333333333332,90.08333333333333,966.8958333333334,183.75,0.275,1.5125,27.84583333333333,0.8166666666666668,99.25,168.79166666666666,0.15,1.0583333333333333,22.204166666666666,1.575,94.95833333333333,228.29166666666666,0.24583333333333335,1.4166666666666667,-0.6,95.0,-0.6,86.0,968.3,0.0,2.2,4.0,0.1,0.5,-0.6,84.0,964.0,39.0,0.1,0.7,-0.9,98.0,49.0,0.1,0.2,-0.4,88.0,104.0,0.1,0.6,3.5,95.0,4.3,97.0,975.5,0.65,207.2,355.0,0.6,2.0,3.8,93.0,971.4,278.0,0.6,2.3,3.1,100.0,297.0,0.3,1.8,4.0,97.0,346.0,0.4,2.4,2018,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
2018-01-03,27.104166666666668,0.7916666666666666,86.25,19.2,1.0416666666666667,85.83333333333333,967.2624999999999,0.004166666666666667,46.24583333333333,217.95833333333334,0.3666666666666667,1.9625000000000001,24.1125,0.9500000000000001,79.875,963.0124999999999,191.45833333333334,0.2791666666666667,1.8,32.71666666666667,0.22083333333333333,89.75,211.66666666666666,0.2541666666666667,1.6333333333333335,19.308333333333334,1.2541666666666667,82.66666666666667,183.25,0.30416666666666664,1.9333333333333333,-2.3,66.0,-2.3,60.0,959.8,0.0,2.1,15.0,0.1,0.9,-2.1,64.0,955.4,3.0,0.1,0.8,-3.2,69.0,88.0,0.1,0.6,-1.8,56.0,6.0,0.1,0.9,5.1,95.0,5.8,97.0,975.5,0.1,310.0,346.0,0.8,4.7,4.3,90.0,971.4,351.0,0.7,3.1,4.4,99.0,311.0,0.8,4.8,5.7,95.0,334.0,1.0,6.3,2018,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
2018-01-04,32.27916666666666,0.7791666666666667,88.0,21.954166666666666,0.9375,87.375,965.85,0.0,36.545833333333334,249.0,0.2791666666666667,1.325,36.15833333333333,1.025,77.75,961.4916666666667,167.58333333333334,0.23750000000000002,1.2750000000000001,40.1875,0.14166666666666666,90.41666666666667,219.33333333333334,0.16666666666666666,0.8791666666666668,27.208333333333332,1.2041666666666668,84.29166666666667,212.33333333333334,0.2541666666666667,1.3208333333333333,-2.3,73.0,-1.8,70.0,963.5,0.0,2.2,102.0,0.1,0.3,-2.1,65.0,959.2,19.0,0.1,0.8,-3.2,75.0,97.0,0.1,0.3,-1.6,63.0,9.0,0.1,0.4,4.1,95.0,4.3,96.0,967.8,0.0,152.9,347.0,0.8,2.8,4.8,86.0,963.5,328.0,0.5,2.4,4.0,97.0,304.0,0.3,1.5,4.5,95.0,353.0,1.0,3.3,2018,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
2018-01-05,49.60833333333333,3.2916666666666665,87.45833333333333,27.400000000000002,4.4125,84.08333333333333,966.1416666666668,0.0,60.42916666666667,172.79166666666666,0.5166666666666667,1.9625000000000001,33.57083333333333,3.1875,80.125,961.8833333333333,185.33333333333334,0.25833333333333336,1.2333333333333334,58.81666666666666,2.5,89.625,212.5,0.23750000000000002,1.0416666666666667,34.949999999999996,3.6666666666666665,85.08333333333333,171.08333333333334,0.2125,1.2458333333333333,-0.6,68.0,0.1,60.0,963.2,0.0,2.1,4.0,0.1,0.9,-0.5,66.0,959.0,55.0,0.1,0.8,-1.5,69.0,71.0,0.1,0.4,-0.2,59.0,5.0,0.1,0.6,8.7,95.0,9.7,96.0,968.2,0.0,322.8,352.0,1.4,3.4,8.6,88.0,964.0,321.0,0.5,2.4,8.1,97.0,328.0,0.5,1.9,9.0,96.0,344.0,0.6,1.9,2018,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
2018-01-06,17.758333333333333,4.841666666666667,86.625,12.5,4.558333333333334,85.375,970.2375000000001,0.0,67.97916666666667,240.875,0.8666666666666667,2.5124999999999997,15.775,4.804166666666666,80.58333333333333,966.0,268.125,0.4291666666666667,1.6375,20.120833333333334,4.2124999999999995,87.0,278.25,0.4291666666666667,1.6624999999999999,17.462500000000002,4.645833333333333,83.95833333333333,153.29166666666666,0.4666666666666666,1.8958333333333333,1.5,65.0,1.8,61.0,968.1,0.0,2.2,3.0,0.2,1.4,1.2,64.0,963.9,15.0,0.0,1.0,-0.1,63.0,38.0,0.1,0.8,0.9,55.0,6.0,0.1,1.1,10.7,95.0,9.8,96.0,973.2,0.0,383.9,358.0,1.2,3.7,11.1,90.0,969.0,342.0,0.9,2.1,11.1,98.0,341.0,1.0,2.7,10.8,96.0,348.0,0.9,3.2,2018,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
2018-01-07,18.787499999999998,4.779166666666667,86.70833333333333,14.295833333333334,4.9624999999999995,82.95833333333333,979.1833333333334,0.0,77.30833333333334,251.41666666666666,0.8375,2.2375000000000003,15.470833333333333,4.716666666666667,79.5,975.125,217.58333333333334,0.5416666666666666,1.7583333333333335,16.795833333333334,4.4624999999999995,85.625,209.54166666666666,0.5791666666666667,1.8,16.579166666666666,4.479166666666667,84.95833333333333,174.70833333333334,0.3125,1.4541666666666666,0.2,64.0,2.1,59.0,973.5,0.0,2.1,4.0,0.1,0.5,2.1,67.0,969.3,32.0,0.1,0.8,-0.4,68.0,37.0,0.0,0.3,0.3,55.0,9.0,0.0,0.4,9.8,97.0,10.5,96.0,984.7,0.0,365.1,356.0,1.8,4.5,9.5,87.0,980.8,346.0,1.3,3.3,10.0,95.0,336.0,1.4,3.1,10.3,97.0,352.0,0.8,2.7,2018,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2018-01-08,29.65833333333333,5.3999999999999995,90.83333333333333,24.808333333333334,5.454166666666667,86.75,985.1999999999999,0.0,52.449999999999996,163.375,0.42083333333333334,1.55,27.860000000000003,5.3,87.54166666666667,981.3208333333333,181.16666666666666,0.5083333333333333,1.4916666666666665,30.787499999999998,5.2375,93.08333333333333,135.83333333333334,0.37916666666666665,1.2541666666666667,27.004166666666666,5.625,86.66666666666667,135.5,0.3125,1.2249999999999999,3.6,80.0,3.4,71.0,984.0,0.0,2.4,6.0,0.1,0.7,3.6,77.0,980.1,63.0,0.1,0.7,3.2,80.0,7.0,0.1,0.1,3.7,70.0,5.0,0.1,0.7,7.8,96.0,8.4,95.0,987.0,0.0,270.0,357.0,0.8,2.7,7.9,93.0,983.0,287.0,1.6,3.4,8.1,98.0,232.0,1.2,3.0,8.0,95.0,260.0,0.7,3.0,2018,8,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2018-01-09,25.21666666666667,5.379166666666666,96.0,24.504166666666666,5.554166666666667,95.66666666666667,984.0041666666666,0.060416666666666674,8.491666666666667,130.625,0.37083333333333335,1.2249999999999999,20.494999999999997,5.491666666666667,93.04166666666667,980.025,124.08333333333333,0.39999999999999997,1.4291666666666665,23.5125,5.4125000000000005,97.66666666666667,144.0,0.2708333333333333,0.9375,25.758333333333336,5.558333333333334,95.54166666666667,178.83333333333334,0.2708333333333333,1.1500000000000001,5.1,96.0,5.2,93.0,980.3,0.0,2.6,7.0,0.1,0.5,5.2,89.0,976.3,12.0,0.2,0.7,5.1,96.0,40.0,0.1,0.1,5.4,94.0,19.0,0.1,0.4,5.8,96.0,6.1,97.0,987.2,1.0,32.9,288.0,0.6,1.9,5.9,96.0,983.3,303.0,0.8,2.6,5.9,99.0,258.0,0.8,2.1,5.8,97.0,339.0,0.5,2.6,2018,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2018-01-10,18.474999999999998,5.329166666666667,94.58333333333333,17.229166666666668,5.545833333333333,94.04166666666667,975.15,0.10541666666666666,25.916666666666668,150.20833333333334,0.2625,0.9625,15.904166666666667,5.383333333333333,91.70833333333333,971.1708333333332,186.375,0.33749999999999997,1.2041666666666668,18.095833333333335,5.366666666666667,96.25,152.41666666666666,0.2791666666666667,1.0083333333333333,17.25,5.45,93.625,204.66666666666666,0.275,0.9291666666666667,4.8,91.0,5.0,90.0,972.8,0.0,2.5,22.0,0.1,0.5,4.9,87.0,969.0,71.0,0.1,0.7,4.8,92.0,54.0,0.1,0.1,5.0,90.0,144.0,0.1,0.5,6.2,96.0,6.3,96.0,979.4,0.39,141.7,334.0,0.9,1.9,6.3,95.0,975.5,337.0,0.6,1.8,6.3,99.0,230.0,0.9,2.5,6.2,96.0,324.0,0.6,1.7,2018,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
