,DayOfWeek,Ost_8010_208,DonBosco_8020_110,DonBosco_8020_119,DonBosco_8020_122,DonBosco_8053_111,Nord_8010_205,Ost_8010_209,Ost_8010_213,Ost_8010_214,Nord_8020_102,West_8020_103,Sud_8020_107,Sud_8041_218,Ost_8041_221,Nord_8045_203,Nord_8051_101
2018-01-01,Praznik,663.0,534.0,624.0,668.0,467.0,352.0,344.0,364.0,341.0,622.0,816.0,384.0,175.0,459.0,376.0,543.0
2018-01-02,Radni_dan,927.0,924.0,772.0,1191.0,904.0,673.0,563.0,544.0,702.0,1181.0,1390.0,889.0,451.0,1070.0,755.0,1128.0
2018-01-03,Radni_dan,962.0,922.0,772.0,1206.0,883.0,699.0,587.0,553.0,711.0,1149.0,1358.0,885.0,453.0,1104.0,767.0,1099.0
2018-01-04,Radni_dan,978.0,941.0,801.0,1233.0,900.0,720.0,606.0,565.0,726.0,1176.0,1404.0,904.0,458.0,1126.0,776.0,1131.0
2018-01-05,Radni_dan,1027.0,986.0,852.0,1278.0,946.0,743.0,613.0,604.0,762.0,1278.0,1468.0,956.0,475.0,1175.0,838.0,1238.0
2018-01-06,Praznik,780.0,680.0,629.0,795.0,650.0,450.0,412.0,402.0,413.0,831.0,1088.0,575.0,250.0,599.0,523.0,758.0
2018-01-07,Vikend,821.0,638.0,589.0,800.0,605.0,463.0,426.0,394.0,416.0,833.0,1071.0,565.0,241.0,607.0,528.0,739.0
2018-01-08,Radni_dan,1229.0,1058.0,908.0,1435.0,1004.0,910.0,709.0,689.0,826.0,1422.0,1609.0,1046.0,527.0,1370.0,967.0,1360.0
2018-01-09,Radni_dan,1297.0,1084.0,917.0,1433.0,1035.0,932.0,735.0,712.0,833.0,1442.0,1657.0,1030.0,517.0,1389.0,941.0,1378.0
2018-01-10,Radni_dan,1285.0,1095.0,913.0,1434.0,1028.0,945.0,740.0,722.0,844.0,1671.0,1665.0,1048.0,527.0,1428.0,974.0,1405.0
2018-01-11,Radni_dan,1309.0,1098.0,934.0,1444.0,1023.0,955.0,761.0,721.0,855.0,1442.0,1636.0,1054.0,521.0,1424.0,988.0,1392.0
2018-01-12,Radni_dan,1348.0,1157.0,993.0,1521.0,1080.0,971.0,753.0,749.0,906.0,1544.0,1736.0,1114.0,564.0,1517.0,1052.0,1495.0
2018-01-13,Vikend,986.0,919.0,835.0,1094.0,863.0,634.0,512.0,564.0,589.0,1154.0,1318.0,820.0,408.0,884.0,703.0,1037.0
2018-01-14,Vikend,824.0,683.0,631.0,840.0,652.0,451.0,428.0,405.0,421.0,875.0,1131.0,554.0,256.0,595.0,470.0,736.0
