time,Temperature_Air_2m_Mean_24h,Cloud_Cover_Mean,Wind_Speed_10m_Mean,Dew_Point_Temperature_2m_Mean,Vapour_Pressure_Mean
2018-01-01,280.97034,0.9509305,2.9892347,279.25897,9.294247
2018-01-02,276.24115,0.5517129,1.8030005,275.62762,7.3572116
2018-01-03,276.28503,0.59618104,2.6178913,274.20837,6.694918
2018-01-04,276.13028,0.77792275,1.753883,275.1389,7.125059
2018-01-05,281.46396,0.7828069,2.2842999,279.04678,9.166566
2018-01-06,283.37915,0.6531379,2.7649388,280.65738,10.161961
2018-01-07,281.11133,0.7946814,1.5885141,279.91998,9.738237
2018-01-08,279.10968,0.831831,1.3047479,278.90964,9.09346
2018-01-09,279.05167,0.9566311,1.6284359,278.7196,8.945704
2018-01-10,278.44757,0.8163736,1.2760037,278.37646,8.770492
2018-01-11,278.0223,0.95099145,1.4917643,277.3998,8.21653
2018-01-12,277.75153,0.9485571,2.689223,276.91153,7.959429
2018-01-13,277.10385,0.9329279,3.1894805,275.9864,7.5035195
2018-01-14,273.7048,0.9142501,2.8762863,271.0725,5.389922
2018-01-15,272.42822,0.8882537,1.5723388,270.33914,5.122881
2018-01-16,277.4768,0.6926113,2.53364,275.52957,7.3508906
2018-01-17,276.17148,0.77217245,1.6122607,274.26352,6.8949814
2018-01-18,276.04602,0.28396884,3.134185,270.42795,5.2051067
2018-01-19,277.30328,0.92995924,1.5261452,275.95932,7.5126395
2018-01-20,273.3287,0.89642304,1.4476461,272.73285,6.042805
2018-01-21,275.90152,0.38882038,2.0957763,272.59613,6.0342164
2018-01-22,273.74512,0.59278864,1.4588708,269.9663,5.0017614
2018-01-23,274.92526,0.37452674,1.2136114,272.1203,5.7983475
2018-01-24,274.7611,0.15964179,1.8330678,272.38666,5.927573
2018-01-25,276.4345,0.37491974,2.4713886,274.1464,6.704279
2018-01-26,278.49948,0.892012,2.5603807,275.9954,7.5482025
2018-01-27,276.66223,0.83829075,1.7175004,275.52658,7.299691
2018-01-28,275.48264,0.7981572,1.3160211,274.98505,7.02271
2018-01-29,276.26624,0.36878023,2.0426269,274.90158,6.99424
2018-01-30,277.7896,0.27758116,1.8177407,275.40634,7.3000283
2018-01-31,277.19995,0.7058592,2.5737748,275.52533,7.331201
2018-02-01,282.07446,0.68229717,3.9877956,278.17828,8.653279
2018-02-02,274.60373,0.9656549,2.4680405,274.61487,6.8729267
2018-02-03,273.69522,0.9260708,1.831158,273.65598,6.4256067
2018-02-04,274.02426,0.47218943,1.3119656,272.69888,6.0392804
2018-02-05,273.27496,0.8559993,1.1270484,272.22345,5.838107
2018-02-06,272.9561,0.9638347,1.5292116,271.6499,5.610828
2018-02-07,273.21283,0.9668835,2.286,272.88983,6.105485
2018-02-08,274.3446,0.8886578,1.384263,274.16837,6.652209
2018-02-09,273.6243,0.78842694,1.7969668,272.68256,6.044828
2018-02-10,273.9098,0.8706438,2.8970857,271.97275,5.7541904
2018-02-11,273.13666,0.56433845,1.6912559,269.34113,4.799908
2018-02-12,272.87088,0.9424934,1.290531,272.16855,5.8313494
2018-02-13,273.8143,0.86582446,3.1157935,272.84558,6.0887866
2018-02-14,272.51862,0.44830677,2.5573866,269.6706,4.9555764
2018-02-15,272.4076,0.43156344,1.8427598,267.54376,4.2474403
2018-02-16,273.5057,0.48644844,1.4707322,270.46707,5.1894174
2018-02-17,275.7254,0.8683733,1.511432,273.12402,6.2307987
2018-02-18,274.9426,0.9616786,3.4838593,272.83633,6.101573
2018-02-19,274.13525,0.9609574,3.1616101,270.01697,5.0455213
2018-02-20,273.90845,0.96306366,3.4370053,272.73785,6.0471406
2018-02-21,273.75873,0.9698823,4.8019786,272.25177,5.855908
2018-02-22,272.70023,0.97010356,4.3122377,271.72308,5.6447935
2018-02-23,273.06308,0.96843994,4.0978923,272.13196,5.8014755
2018-02-24,270.2541,0.6614134,4.1280518,266.02042,3.8806055
2018-02-25,266.41,0.9468125,4.9542603,260.6422,2.5846324
2018-02-26,264.65515,0.9687108,6.0340295,260.72083,2.6120887
2018-02-27,264.20563,0.9670471,4.612392,260.288,2.5202599
2018-02-28,263.27286,0.6939497,1.6219765,257.56454,2.0606346
2018-03-01,265.35742,0.9576719,1.4272732,262.28662,2.961499
2018-03-02,268.20572,0.965433,1.2325463,266.05164,3.8140118
2018-03-03,270.58044,0.9590569,1.223468,268.3996,4.4975376
2018-03-04,272.45227,0.93532324,1.509427,270.12784,5.070367
2018-03-05,272.36533,0.97157997,2.1281521,271.2013,5.4533143
2018-03-06,273.889,0.95106673,1.2075274,272.8674,6.116959
2018-03-07,277.72375,0.781249,2.140909,275.77826,7.4452624
2018-03-08,278.19327,0.6099393,2.023927,274.96188,7.0651603
2018-03-09,280.35028,0.59396666,3.575303,274.96817,7.0590796
