index,Nord_Windspeed,Ost_Windspeed,Sud_Windspeed,West_Windspeed,Nord_Winddirection,Ost_Winddirection,Sud_Winddirection,West_Winddirection,Jesen,Proljece,Ljeto,Zima
1/1/2018,0.525,0.354166667,0.325,0.483333333,237.5,156.7916667,189.3333333,197.6666667,0,0,0,1
1/2/2018,0.333333333,0.275,0.15,0.245833333,223.2083333,183.75,168.7916667,228.2916667,0,0,0,1
1/3/2018,0.366666667,0.279166667,0.254166667,0.304166667,217.9583333,191.4583333,211.6666667,183.25,0,0,0,1
1/4/2018,0.279166667,0.2375,0.166666667,0.254166667,249,167.5833333,219.3333333,212.3333333,0,0,0,1
1/5/2018,0.516666667,0.258333333,0.2375,0.2125,172.7916667,185.3333333,212.5,171.0833333,0,0,0,1
1/6/2018,0.866666667,0.429166667,0.429166667,0.466666667,240.875,268.125,278.25,153.2916667,0,0,0,1
1/7/2018,0.8375,0.541666667,0.579166667,0.3125,251.4166667,217.5833333,209.5416667,174.7083333,0,0,0,1
1/8/2018,0.420833333,0.508333333,0.379166667,0.3125,163.375,181.1666667,135.8333333,135.5,0,0,0,1
1/9/2018,0.370833333,0.4,0.270833333,0.270833333,130.625,124.0833333,144,178.8333333,0,0,0,1
1/10/2018,0.2625,0.3375,0.279166667,0.275,150.2083333,186.375,152.4166667,204.6666667,0,0,0,1
1/11/2018,0.341666667,0.508333333,0.3375,0.291666667,230.125,185.5833333,166.7083333,187.0416667,0,0,0,1
1/12/2018,0.691666667,0.491666667,0.283333333,0.404166667,204.8333333,198,194.625,199.25,0,0,0,1
1/13/2018,0.391666667,0.6375,0.4,0.433333333,142.4583333,125.0833333,113.5833333,150,0,0,0,1
1/14/2018,0.495833333,0.6625,0.4625,0.4875,117.375,92.16666667,86.08333333,149.25,0,0,0,1
1/15/2018,0.675,0.304166667,0.370833333,0.479166667,150.6666667,165.7083333,135.7916667,174.7916667,0,0,0,1
1/16/2018,0.383333333,0.420833333,0.345833333,0.458333333,190.375,159.8333333,147.125,218.4583333,0,0,0,1
1/17/2018,0.495833333,0.670833333,1.0375,0.783333333,255.7916667,216.7083333,240.5833333,215.1666667,0,0,0,1
1/18/2018,0.595833333,0.608333333,0.879166667,0.816666667,214.2083333,249.1666667,218.3333333,217.625,0,0,0,1
1/19/2018,0.645833333,0.416666667,0.595833333,0.5375,228.0833333,173.2083333,211.9166667,170.875,0,0,0,1
1/20/2018,0.645833333,0.2875,0.3375,0.408333333,217.9583333,158.75,196.0416667,195,0,0,0,1
1/21/2018,0.6,0.545833333,0.879166667,0.770833333,245.2083333,220.25,259.125,230.8333333,0,0,0,1
1/22/2018,0.429166667,0.4625,0.625,0.470833333,184.75,163.625,148.4583333,184.625,0,0,0,1
1/23/2018,0.391666667,0.35,0.308333333,0.295833333,229.9583333,163.1666667,195.3333333,208,0,0,0,1
1/24/2018,0.866666667,0.358333333,0.358333333,0.391666667,251.25,220.9583333,193.2916667,200.375,0,0,0,1
1/25/2018,0.725,0.3875,0.279166667,0.395833333,231.5,205.4166667,185.625,184.9583333,0,0,0,1
1/26/2018,0.541666667,0.325,0.266666667,0.283333333,242.125,209.7083333,179.125,221.2083333,0,0,0,1
1/27/2018,0.541666667,0.408333333,0.333333333,0.479166667,104.6666667,162.8333333,115.5833333,168.75,0,0,0,1
1/28/2018,0.645833333,0.45,0.45,0.470833333,172.0416667,223.9166667,158.3333333,180.9166667,0,0,0,1
1/29/2018,0.5125,0.254166667,0.245833333,0.2,196.9166667,195.3333333,161.9166667,212.75,0,0,0,1
1/30/2018,0.629166667,0.575,0.6625,0.708333333,197.125,149.875,155.4583333,179.4166667,0,0,0,1
1/31/2018,0.333333333,0.375,0.366666667,0.308333333,205.375,176.0416667,162.75,177.9583333,0,0,0,1
2/1/2018,0.779166667,0.508333333,0.7375,0.679166667,234.4166667,244.75,221.0416667,166.7916667,0,0,0,1
2/2/2018,0.508333333,0.354166667,0.433333333,0.566666667,170.6666667,170.0833333,153.0833333,171.375,0,0,0,1
2/3/2018,0.420833333,0.341666667,0.325,0.45,192.2083333,214.2916667,169.7916667,198.625,0,0,0,1
2/4/2018,0.6,0.4,0.4,0.375,240.625,176.2083333,152.4583333,183.5,0,0,0,1
2/5/2018,0.795833333,0.6375,0.683333333,0.483333333,179.7916667,157.5416667,172.25,143.7083333,0,0,0,1
