"Name";"Time";"Q@KFZ";
"8010_205";"02.01.2018 00:00:00";352;54166
"8010_209";"02.01.2018 00:00:00";344;0
"8010_214";"02.01.2018 00:00:00";341;0
"8010_202_Nord";"02.01.2018 00:00:00";0;0
"8010_205_Ost";"02.01.2018 00:00:00";176;45833
"8010_205_West";"02.01.2018 00:00:00";176;8333
"8010_209_Ost";"02.01.2018 00:00:00";171;4167
"8010_209_West";"02.01.2018 00:00:00";172;95833
"8010_213_Ost";"02.01.2018 00:00:00";364;83334
"8010_214_Nord";"02.01.2018 00:00:00";151;4167
"8010_214_Süd";"02.01.2018 00:00:00";189;95833
"8020_102";"02.01.2018 00:00:00";622;1671
"8020_103";"02.01.2018 00:00:00";816;8755
"8020_107";"02.01.2018 00:00:00";384;5412
"8020_102_Nord";"02.01.2018 00:00:00";304;79074
"8020_102_Süd";"02.01.2018 00:00:00";317;3764
"8020_103_Nord";"02.01.2018 00:00:00";410;6236
"8020_103_Süd";"02.01.2018 00:00:00";406;25186
"8020_107_Nord";"02.01.2018 00:00:00";232;29028
"8020_107_Süd";"02.01.2018 00:00:00";152;25093
"8041_218";"02.01.2018 00:00:00";175;25
"8041_221";"02.01.2018 00:00:00";459;375
"8041_218_Nord";"02.01.2018 00:00:00";-1;0
"8041_218_Süd";"02.01.2018 00:00:00";-1;0
"8041_221_Ost";"02.01.2018 00:00:00";230;16667
"8041_221_West";"02.01.2018 00:00:00";229;20833
"8045_203";"02.01.2018 00:00:00";376;75
"8045_203_Nord";"02.01.2018 00:00:00";188;91667
"8045_203_Süd";"02.01.2018 00:00:00";187;83333
"8051_101";"02.01.2018 00:00:00";543;5417
"8051_101_Nord";"02.01.2018 00:00:00";246;4167
"8051_101_Süd";"02.01.2018 00:00:00";297;5
"8055_108_Nord_bis20210121";"02.01.2018 00:00:00";158;625
"8055_108_Süd_bis20210121";"02.01.2018 00:00:00";164;125
"8010_205";"03.01.2018 00:00:00";673;417
"8010_209";"03.01.2018 00:00:00";563;4167
"8010_214";"03.01.2018 00:00:00";702;417
"8010_202_Nord";"03.01.2018 00:00:00";0;0
"8010_205_Ost";"03.01.2018 00:00:00";318;375
"8010_205_West";"03.01.2018 00:00:00";354;66666
"8010_209_Ost";"03.01.2018 00:00:00";275;95834
"8010_209_West";"03.01.2018 00:00:00";287;45834
"8010_213_Ost";"03.01.2018 00:00:00";544;2083
"8010_214_Nord";"03.01.2018 00:00:00";328;875
"8010_214_Süd";"03.01.2018 00:00:00";373;16666
"8020_102";"03.01.2018 00:00:00";1181;288
"8020_103";"03.01.2018 00:00:00";1390;249
"8020_107";"03.01.2018 00:00:00";889;46063
"8020_102_Nord";"03.01.2018 00:00:00";582;7477
"8020_102_Süd";"03.01.2018 00:00:00";598;5403
"8020_103_Nord";"03.01.2018 00:00:00";699;5421
"8020_103_Süd";"03.01.2018 00:00:00";690;707
"8020_107_Nord";"03.01.2018 00:00:00";503;75232
"8020_107_Süd";"03.01.2018 00:00:00";385;70834
"8041_218";"03.01.2018 00:00:00";451;91666
"8041_221";"03.01.2018 00:00:00";1070;875
"8041_218_Nord";"03.01.2018 00:00:00";-1;0
"8041_218_Süd";"03.01.2018 00:00:00";-1;0
"8041_221_Ost";"03.01.2018 00:00:00";518;8333
"8041_221_West";"03.01.2018 00:00:00";552;417
"8045_203";"03.01.2018 00:00:00";755;75
"8045_203_Nord";"03.01.2018 00:00:00";384;79166
"8045_203_Süd";"03.01.2018 00:00:00";370;95834
"8051_101";"03.01.2018 00:00:00";1128;4584
"8051_101_Nord";"03.01.2018 00:00:00";482;70834
"8051_101_Süd";"03.01.2018 00:00:00";645;75
"8055_108_Nord_bis20210121";"03.01.2018 00:00:00";347;66666
"8055_108_Süd_bis20210121";"03.01.2018 00:00:00";380;20834
"8010_205";"04.01.2018 00:00:00";699;9167
"8010_209";"04.01.2018 00:00:00";587;625
"8010_214";"04.01.2018 00:00:00";711;0
"8010_202_Nord";"04.01.2018 00:00:00";0;0
"8010_205_Ost";"04.01.2018 00:00:00";331;54166
"8010_205_West";"04.01.2018 00:00:00";368;375
"8010_209_Ost";"04.01.2018 00:00:00";287;20834
"8010_209_West";"04.01.2018 00:00:00";300;41666
"8010_213_Ost";"04.01.2018 00:00:00";553;2917
"8010_214_Nord";"04.01.2018 00:00:00";327;95834
"8010_214_Süd";"04.01.2018 00:00:00";383;4166
"8020_102";"04.01.2018 00:00:00";1149;4181
"8020_103";"04.01.2018 00:00:00";1358;2926
"8020_107";"04.01.2018 00:00:00";885;4157
"8020_102_Nord";"04.01.2018 00:00:00";573;4185
"8020_102_Süd";"04.01.2018 00:00:00";575;9995
"8020_103_Nord";"04.01.2018 00:00:00";685;3343
"8020_103_Süd";"04.01.2018 00:00:00";672;9583
"8020_107_Nord";"04.01.2018 00:00:00";498;83286
"8020_107_Süd";"04.01.2018 00:00:00";386;58286
"8041_218";"04.01.2018 00:00:00";453;25
"8041_221";"04.01.2018 00:00:00";1104;834
"8041_218_Nord";"04.01.2018 00:00:00";-1;0
"8041_218_Süd";"04.01.2018 00:00:00";-1;0
"8041_221_Ost";"04.01.2018 00:00:00";536;9583
"8041_221_West";"04.01.2018 00:00:00";567;125
"8045_203";"04.01.2018 00:00:00";767;6667
"8045_203_Nord";"04.01.2018 00:00:00";391;79166
"8045_203_Süd";"04.01.2018 00:00:00";375;875
"8051_101";"04.01.2018 00:00:00";1099;9166
"8051_101_Nord";"04.01.2018 00:00:00";483;58334
"8051_101_Süd";"04.01.2018 00:00:00";616;3333
"8055_108_Nord_bis20210121";"04.01.2018 00:00:00";354;66013
"8055_108_Süd_bis20210121";"04.01.2018 00:00:00";383;3046
"8010_205";"05.01.2018 00:00:00";720;9583
"8010_209";"05.01.2018 00:00:00";606;5833
"8010_214";"05.01.2018 00:00:00";726;417
"8010_202_Nord";"05.01.2018 00:00:00";0;0
"8010_205_Ost";"05.01.2018 00:00:00";344;375
"8010_205_West";"05.01.2018 00:00:00";376;58334
"8010_209_Ost";"05.01.2018 00:00:00";296;33334
"8010_209_West";"05.01.2018 00:00:00";310;25
"8010_213_Ost";"05.01.2018 00:00:00";565;5833
"8010_214_Nord";"05.01.2018 00:00:00";339;54166
"8010_214_Süd";"05.01.2018 00:00:00";386;5
"8020_102";"05.01.2018 00:00:00";1176;3352
"8020_103";"05.01.2018 00:00:00";1404;421
"8020_107";"05.01.2018 00:00:00";904;3764
"8020_102_Nord";"05.01.2018 00:00:00";583;2093
"8020_102_Süd";"05.01.2018 00:00:00";593;1259
"8020_103_Nord";"05.01.2018 00:00:00";705;168
"8020_103_Süd";"05.01.2018 00:00:00";698;8741
"8020_107_Nord";"05.01.2018 00:00:00";510;45926
"8020_107_Süd";"05.01.2018 00:00:00";393;91714
"8041_218";"05.01.2018 00:00:00";458;16666
"8041_221";"05.01.2018 00:00:00";1126;2916
"8041_218_Nord";"05.01.2018 00:00:00";-1;0
"8041_218_Süd";"05.01.2018 00:00:00";-1;0
"8041_221_Ost";"05.01.2018 00:00:00";548;6667
"8041_221_West";"05.01.2018 00:00:00";577;625
"8045_203";"05.01.2018 00:00:00";776;7083
"8045_203_Nord";"05.01.2018 00:00:00";397;875
"8045_203_Süd";"05.01.2018 00:00:00";378;83334
"8051_101";"05.01.2018 00:00:00";1131;834
"8051_101_Nord";"05.01.2018 00:00:00";491;8334
"8051_101_Süd";"05.01.2018 00:00:00";640;0
"8055_108_Nord_bis20210121";"05.01.2018 00:00:00";354;81015
"8055_108_Süd_bis20210121";"05.01.2018 00:00:00";396;32635
"8010_205";"06.01.2018 00:00:00";743;3333
"8010_209";"06.01.2018 00:00:00";613;75
"8010_214";"06.01.2018 00:00:00";762;6667
"8010_202_Nord";"06.01.2018 00:00:00";0;0
"8010_205_Ost";"06.01.2018 00:00:00";359;70834
"8010_205_West";"06.01.2018 00:00:00";383;625
"8010_209_Ost";"06.01.2018 00:00:00";301;25
"8010_209_West";"06.01.2018 00:00:00";312;5
"8010_213_Ost";"06.01.2018 00:00:00";604;1667
"8010_214_Nord";"06.01.2018 00:00:00";357;20834
"8010_214_Süd";"06.01.2018 00:00:00";405;45834
"8020_102";"06.01.2018 00:00:00";1278;408
"8020_103";"06.01.2018 00:00:00";1468;7893
"8020_107";"06.01.2018 00:00:00";956;8713
"8020_102_Nord";"06.01.2018 00:00:00";643;4995
"8020_102_Süd";"06.01.2018 00:00:00";634;5412
"8020_103_Nord";"06.01.2018 00:00:00";744;2889
"8020_103_Süd";"06.01.2018 00:00:00";724;5005
"8020_107_Nord";"06.01.2018 00:00:00";541;37177
"8020_107_Süd";"06.01.2018 00:00:00";415;49954
"8041_218";"06.01.2018 00:00:00";475;41666
"8041_221";"06.01.2018 00:00:00";1175;0
"8041_218_Nord";"06.01.2018 00:00:00";-1;0
"8041_218_Süd";"06.01.2018 00:00:00";-1;0
"8041_221_Ost";"06.01.2018 00:00:00";577;875
"8041_221_West";"06.01.2018 00:00:00";597;125
"8045_203";"06.01.2018 00:00:00";838;5417
"8045_203_Nord";"06.01.2018 00:00:00";431;70834
"8045_203_Süd";"06.01.2018 00:00:00";406;83334
"8051_101";"06.01.2018 00:00:00";1238;875
"8051_101_Nord";"06.01.2018 00:00:00";544;0
"8051_101_Süd";"06.01.2018 00:00:00";694;875
"8055_108_Nord_bis20210121";"06.01.2018 00:00:00";383;625
"8055_108_Süd_bis20210121";"06.01.2018 00:00:00";423;95834
"8010_205";"07.01.2018 00:00:00";450;75
"8010_209";"07.01.2018 00:00:00";412;58334
"8010_214";"07.01.2018 00:00:00";413;83334
"8010_202_Nord";"07.01.2018 00:00:00";0;0
"8010_205_Ost";"07.01.2018 00:00:00";231;58333
"8010_205_West";"07.01.2018 00:00:00";219;16667
"8010_209_Ost";"07.01.2018 00:00:00";203;33333
"8010_209_West";"07.01.2018 00:00:00";209;25
"8010_213_Ost";"07.01.2018 00:00:00";402;5
"8010_214_Nord";"07.01.2018 00:00:00";197;16667
"8010_214_Süd";"07.01.2018 00:00:00";216;66667
"8020_102";"07.01.2018 00:00:00";831;5389
"8020_103";"07.01.2018 00:00:00";1088;4125
"8020_107";"07.01.2018 00:00:00";575;9171
"8020_102_Nord";"07.01.2018 00:00:00";416;54074
"8020_102_Süd";"07.01.2018 00:00:00";414;99814
"8020_103_Nord";"07.01.2018 00:00:00";556;4148
"8020_103_Süd";"07.01.2018 00:00:00";531;9977
"8020_107_Nord";"07.01.2018 00:00:00";330;5838
"8020_107_Süd";"07.01.2018 00:00:00";245;33333
"8041_218";"07.01.2018 00:00:00";250;125
"8041_221";"07.01.2018 00:00:00";599;2083
"8041_218_Nord";"07.01.2018 00:00:00";-1;0
"8041_218_Süd";"07.01.2018 00:00:00";-1;0
"8041_221_Ost";"07.01.2018 00:00:00";286;79166
"8041_221_West";"07.01.2018 00:00:00";312;41666
"8045_203";"07.01.2018 00:00:00";523;375
"8045_203_Nord";"07.01.2018 00:00:00";266;83334
"8045_203_Süd";"07.01.2018 00:00:00";256;54166
"8051_101";"07.01.2018 00:00:00";758;1667
"8051_101_Nord";"07.01.2018 00:00:00";355;8334
"8051_101_Süd";"07.01.2018 00:00:00";402;68884
"8055_108_Nord_bis20210121";"07.01.2018 00:00:00";259;125
"8055_108_Süd_bis20210121";"07.01.2018 00:00:00";263;91666
"8010_205";"08.01.2018 00:00:00";463;125
"8010_209";"08.01.2018 00:00:00";426;45834
"8010_214";"08.01.2018 00:00:00";416;83334
"8010_202_Nord";"08.01.2018 00:00:00";0;0
"8010_205_Ost";"08.01.2018 00:00:00";238;33333
"8010_205_West";"08.01.2018 00:00:00";224;79167
"8010_209_Ost";"08.01.2018 00:00:00";215;58333
"8010_209_West";"08.01.2018 00:00:00";210;875
"8010_213_Ost";"08.01.2018 00:00:00";394;16666
"8010_214_Nord";"08.01.2018 00:00:00";205;625
"8010_214_Süd";"08.01.2018 00:00:00";211;20833
"8020_102";"08.01.2018 00:00:00";833;6713
"8020_103";"08.01.2018 00:00:00";1071;4657
"8020_107";"08.01.2018 00:00:00";565;4995
"8020_102_Nord";"08.01.2018 00:00:00";395;83472
"8020_102_Süd";"08.01.2018 00:00:00";437;83658
"8020_103_Nord";"08.01.2018 00:00:00";539;92035
"8020_103_Süd";"08.01.2018 00:00:00";531;54535
"8020_107_Nord";"08.01.2018 00:00:00";323;62592
"8020_107_Süd";"08.01.2018 00:00:00";241;87361
"8041_218";"08.01.2018 00:00:00";241;95833
"8041_221";"08.01.2018 00:00:00";607;4167
"8041_218_Nord";"08.01.2018 00:00:00";-1;0
"8041_218_Süd";"08.01.2018 00:00:00";-1;0
"8041_221_Ost";"08.01.2018 00:00:00";266;66666
"8041_221_West";"08.01.2018 00:00:00";340;75
