,Graz-DB (LUFE),Graz-DB (LUTE),Graz-DB (NO),Graz-DB (NO2),Graz-DB (NOX),Graz-DB (PM10),Graz-DB (SO2),Graz-DB (STBK 10K),Graz-N (LUFE),Graz-N (LUTE),Graz-N (NO),Graz-N (NO2),Graz-N (NOX),Graz-N (PM10),Graz-N (SO2),Graz-N (STBK 10K),Graz-O P (LUFE),Graz-O P (LUTE),Graz-O P (NO),Graz-O P (NO2),Graz-O P (NOX),Graz-O P (PM10),Graz-O P (STBK 10K),Graz-S (LUFE),Graz-S (LUTE),Graz-S (NO),Graz-S (NO2),Graz-S (NOX),Graz-S (PM10),Graz-S (SO2),Graz-S (STBK 10K),Graz-W (LUFE),Graz-W (LUTE),Graz-W (NO),Graz-W (NO2),Graz-W (NOX),Graz-W (PM10),Graz-W (STBK 10K),Graz-W (SO2)
2010-01-01,83.53208,3.3812702,115.45,62.420425,125.220856,50.29002,7.9025965,48.68121,77.251884,4.0359306,25.574766,37.758297,40.25915,29.363005,3.9771614,34.853405,,,77.081955,52.36298,89.193184,,41.291916,86.13543,2.4593995,93.80297,45.16553,98.84022,58.030025,4.3472977,58.87648,83.031044,3.49747,69.225334,47.048294,80.09979,38.21521,38.21521,6.3258724
2010-01-02,87.01605,2.9549463,106.04084,49.886177,111.119576,116.87008,9.089468,148.30754,81.564156,3.5223312,14.367424,25.938934,25.088514,37.72999,2.3222873,45.783848,,,46.41379,36.95639,56.550842,,76.42278,89.09375,2.3335283,75.725105,33.30085,78.143616,134.87007,7.853193,169.9436,86.7771,3.0336525,57.7187,35.495,64.85022,79.188095,79.188095,4.752894
2010-01-03,55.582905,2.673754,40.915726,21.900616,44.270275,23.994997,3.7006593,21.664154,56.786457,3.1091044,5.206405,11.074873,9.969214,10.264006,0.8873342,10.978717,,,20.297049,15.286636,24.27237,,16.273163,57.440624,2.436342,23.734625,14.216703,26.469822,17.90301,1.4488571,19.864191,56.488766,2.9537373,14.70623,13.905152,19.065725,14.734432,14.734432,1.9430215
2010-01-04,42.072296,-0.66836596,36.093445,36.261917,47.911,20.080004,4.100872,21.462568,49.110626,-0.7428071,4.3908296,18.268064,13.076574,11.488003,0.4954166,14.78593,,,11.900749,24.183193,22.190956,,20.439781,43.59667,-1.0415516,22.6489,26.544174,32.038174,22.116013,1.8274447,26.680067,44.811253,-0.57170916,7.937342,22.021637,17.88336,11.564521,11.564521,2.1263447
2010-01-05,72.97479,-3.9457912,99.885315,71.757225,117.62979,48.43001,6.6988926,53.67023,69.331055,-3.8673708,16.102041,41.78149,34.767868,26.274002,1.8500491,32.0001,,,23.5683,42.62724,41.191704,,43.426716,71.944374,-4.3385873,62.46663,51.446163,76.99893,45.40001,3.0590632,54.818146,73.859795,-4.0167937,29.179869,50.603188,49.865322,34.387577,34.387577,3.871213
2010-01-06,85.00312,-3.3197918,65.164856,63.744038,85.590195,43.510006,5.872384,44.067287,81.0825,-3.772709,15.314576,42.980854,34.761925,33.160004,3.2690535,36.210415,,,16.932356,47.85958,38.60979,,42.283085,80.45458,-3.0378954,15.970875,46.684887,37.2249,37.14001,3.1428516,43.463726,85.23687,-3.1657286,19.097338,47.574265,40.196384,37.83392,37.83392,4.065958
2010-01-07,89.92938,-1.901038,23.499384,41.23298,40.41213,48.68997,3.470554,47.58542,86.39167,-1.6200398,8.171127,29.495953,21.979319,44.10999,1.107538,46.646984,,,8.125965,31.550415,23.017233,,50.496567,90.59104,-1.7618185,8.573927,31.300638,23.245808,46.339996,1.5917683,52.22353,90.387695,-1.6809481,8.110469,34.90894,24.761488,45.81033,45.81033,2.735383
2010-01-08,88.61396,-0.9690938,44.222385,54.89936,64.17382,59.179996,4.7113614,55.409527,84.83104,-0.7785187,7.956256,32.90979,23.592129,51.739994,2.212638,50.75227,,,13.818094,39.203617,31.584473,,58.899265,89.06458,-0.88096863,12.593189,38.775745,30.378725,53.600006,2.2393491,62.290436,88.86146,-0.8554688,7.887959,40.65,27.58468,55.967564,55.967564,3.8877447
2010-01-09,94.19376,-0.8454457,63.918186,56.38489,80.74595,47.989994,5.675043,40.817425,90.6727,-0.60845596,13.410107,35.09085,29.106167,36.199986,2.1144874,30.168257,,,22.544168,43.183407,40.664253,,43.18162,95.86126,-0.7300443,29.600973,41.402348,45.394688,42.839993,3.1828508,48.020584,94.06833,-0.5965166,16.257423,41.17894,34.573402,39.156254,39.156254,4.3209147
2010-01-10,95.12473,0.21611293,130.78148,62.897873,137.77022,51.300022,6.005786,47.996536,93.475426,0.5570455,60.81082,40.81042,70.10829,32.329994,2.138434,34.028584,,,90.51617,52.802765,100.193825,,47.58162,98.41207,0.16189063,84.35149,46.447227,91.93298,44.859997,3.4201488,52.249268,96.395836,0.42644897,87.29489,48.534264,95.39531,43.05562,43.05562,5.014128
2010-01-11,94.736885,0.5811661,66.05596,43.95213,75.954475,39.71998,4.018043,37.27371,93.135216,0.90783125,39.068237,32.572132,48.36467,30.723013,1.112578,31.845179,,,33.739624,34.297874,44.99617,,32.67316,99.41729,0.632981,38.372955,32.21319,47.620632,36.310024,1.6207402,39.41691,95.719795,0.7790397,43.05943,35.817444,53.264477,33.2616,33.2616,2.7619789
2010-01-12,93.35728,-0.2833246,51.036346,42.07681,62.930206,38.12,3.4840422,33.748806,90.87374,-0.10840801,5.4600205,23.779999,16.814043,26.493004,0.3780139,26.824419,,,28.793894,34.591484,41.183403,,38.971813,97.432495,-0.2348348,14.909362,30.008083,27.649786,33.77001,1.088947,37.50269,93.9421,-0.102049,11.033788,32.41362,25.801699,30.900549,30.900549,1.8990002
2010-01-13,85.20311,-1.1306542,40.309483,43.75319,55.205753,43.150013,4.659979,37.78423,82.271454,-1.1066937,12.608424,30.789572,26.215538,32.5,0.98065746,29.636316,,,27.430958,44.399353,45.21703,,,89.309166,-1.0629123,22.989782,35.914043,37.219364,43.900013,2.4669168,48.623035,84.920616,-0.9130457,14.310129,37.386597,31.02893,37.08196,37.08196,3.705936
2010-01-14,90.74416,-1.4231459,59.000046,55.02447,76.08809,53.87998,3.8190422,48.435574,86.92333,-1.4376041,11.555489,36.542126,28.378304,39.040012,0.5929736,37.195442,,,,,,,,92.54084,-1.292502,16.648329,39.65425,34.09234,51.270016,1.4888593,57.538727,89.94626,-1.3388333,11.821914,41.440426,31.155533,44.50984,44.50984,2.2651489
2010-01-15,85.866264,-1.3362541,66.279205,58.592773,83.789375,45.280018,4.9051065,40.527775,83.71542,-1.3625625,7.316148,34.027664,23.664598,29.327017,0.8186746,28.11142,,,,,,,,88.34583,-1.1652207,16.107584,40.295956,33.991684,44.239994,2.2138042,48.91078,85.29104,-1.2339395,9.654489,38.764893,28.015322,34.977596,34.977596,2.922213
2010-01-16,90.64145,-1.0046396,41.578785,53.42894,61.285534,66.050026,4.8368726,63.854355,87.690834,-0.7897356,3.218085,25.595615,15.968914,52.389988,2.4831915,53.70463,,,20.085024,44.274677,39.26293,,69.524506,92.20104,-0.8358459,10.046325,35.16447,26.448593,61.580013,3.139787,68.70931,91.68479,-0.89238137,4.588639,37.274464,23.173191,61.244305,61.244305,4.014979
2010-01-17,86.32834,-1.398343,44.522026,61.467022,67.85063,60.68996,5.515936,60.902546,82.74897,-1.2758424,7.578276,37.81808,25.857868,48.56999,3.1675723,45.08725,,,18.759508,48.57,40.444675,,65.14363,88.22458,-1.4938784,33.226852,48.935528,52.237015,60.780025,3.1176805,69.36837,85.37562,-1.2689804,11.720745,43.15043,31.96681,52.70223,52.70223,4.5073833
2010-01-18,90.67792,-3.8546047,47.822407,57.431076,68.38319,64.17999,4.0773616,64.3982,86.54395,-3.4766452,9.69249,37.061916,27.156408,50.129986,0.93508106,49.519978,,,14.52683,41.210648,33.20336,,59.07597,92.61978,-3.8419583,31.026114,42.455105,47.083046,62.370037,1.9159148,72.64362,90.09084,-3.637583,15.986702,43.301495,35.467022,54.895832,54.895832,2.7269788
2010-01-19,88.04125,-2.115342,284.1383,119.21341,290.22705,126.759926,11.546976,117.010284,84.75146,-1.196181,110.64195,72.69933,126.75152,79.51,4.530163,74.26495,,,142.65532,92.18831,162.62616,,95.72452,90.39749,-2.5266287,199.06686,93.155556,208.36664,117.06997,6.6924133,126.1973,87.716034,-1.6267748,165.57532,87.34957,178.4715,90.373024,90.373024,8.117872
2010-01-20,90.44019,0.3014129,201.63403,101.6949,214.89574,95.77001,8.557659,83.36465,86.13645,0.8338635,83.10191,65.89148,101.101715,56.120026,2.978194,45.11252,,,116.965744,83.20659,137.30913,,77.67427,93.16793,0.16170357,146.62149,80.18872,159.5168,89.459984,5.091553,96.15735,90.06146,0.59263533,143.89299,79.74085,157.0983,77.29441,77.29441,6.6075525
2010-01-21,86.41291,-0.2569838,174.56424,89.60214,186.84322,71.76,8.18549,,75.54604,0.6736815,26.645508,51.439358,48.27404,30.569986,2.607949,24.146713,,,65.53851,66.30405,87.22745,,44.03824,89.64521,-0.50673383,133.51894,70.35234,143.8717,64.99,4.7665524,66.61225,85.003334,0.06611392,93.51192,67.99553,110.54191,47.853184,47.853184,5.6220636
2010-01-22,91.44874,-2.5141857,53.578293,62.058735,75.4249,61.19997,5.4243617,,87.41042,-2.194125,17.89506,47.258083,39.067234,54.120026,2.7541764,45.15035,,,18.175148,49.50915,40.468723,,57.783085,92.6773,-2.4514978,20.874088,45.67893,40.63128,56.70998,2.967277,60.051235,90.76084,-2.340525,17.119703,49.886818,39.820423,53.037144,53.037144,4.766064
2010-01-23,85.09616,-3.5530422,38.695652,52.463108,58.4669,61.659985,6.6891556,,81.80958,-3.2111874,10.8188715,38.79872,28.969154,52.050022,4.8582554,45.10973,,,15.618574,42.8834,34.95383,,58.137333,87.02167,-3.3991458,17.626158,40.137016,35.124893,58.0,4.750255,61.15858,85.29145,-3.3455212,10.024171,42.281918,30.152977,52.21423,52.21423,5.9355536
2010-01-24,86.898735,-4.7100415,18.30934,43.697227,37.537872,70.60003,5.9879785,74.87107,85.45645,-4.51575,5.069893,34.418087,22.06528,61.80003,4.044562,59.325226,,,8.318145,35.158085,25.05851,,71.77303,87.28957,-4.469688,4.691487,30.392765,19.655958,69.24,4.413064,76.6402,88.082085,-4.557334,3.8707445,37.489365,22.709574,69.24293,69.24293,5.5165524
2010-01-25,84.61271,-4.8057704,12.121064,39.32787,30.288725,78.64996,5.0820637,86.34853,81.53146,-4.5866876,2.7862763,25.46383,15.547617,65.28002,2.7759235,63.23038,,,3.5335152,27.462135,17.19468,,75.80784,85.13543,-4.585792,1.7461874,25.121702,14.536873,79.22999,3.937851,85.76176,84.076035,-4.6466665,2.0825958,29.627232,17.165745,68.98879,68.98879,4.5063186
2010-01-26,84.68458,-5.2462707,33.602894,56.71085,56.60724,,6.0861273,70.825005,81.0675,-4.941896,4.063978,34.02617,21.051382,57.080006,4.426724,53.62283,,,10.854121,42.467014,30.915743,,62.76372,85.21792,-5.068062,9.40644,43.25553,30.168304,61.68996,4.2044673,67.96741,84.40563,-5.0664587,4.390794,38.634686,23.726786,59.33018,59.33018,5.6058936
2010-01-27,83.7325,-6.0986047,49.368107,76.51935,79.60446,,14.697194,83.6549,80.680626,-5.6888547,7.100572,48.4734,31.043407,65.90999,14.499002,,,,17.586563,52.701477,41.66579,,68.24731,85.39605,-6.201999,18.95988,54.790504,43.85325,69.39997,11.055292,79.103424,82.802086,-5.7993126,6.232618,53.146816,32.79298,70.17787,70.17787,15.509576
