,8010_003,8010_208,8020_110,8020_119,8020_122,8053_111,8010_202_Nord,8010_205,8010_205_Ost,8010_205_West,8010_209,8010_209_Ost,8010_209_West,8010_213_Ost,8010_214,8010_214_Nord,8010_214_Süd,8020_102,8020_102_Nord,8020_102_Süd,8020_103,8020_103_Nord,8020_103_Süd,8020_107,8020_107_Nord,8020_107_Süd,8041_218,8041_218_Nord,8041_218_Süd,8041_221,8041_221_Ost,8041_221_West,8045_203,8045_203_Nord,8045_203_Süd,8051_101,8051_101_Nord,8051_101_Süd
2018-01-01,,663.0,534.0,624.0,668.0,467.0,,352.0,176.0,176.0,344.0,171.0,172.0,364.0,341.0,151.0,189.0,622.0,304.0,317.0,816.0,410.0,406.0,384.0,232.0,152.0,175.0,,,459.0,230.0,229.0,376.0,188.0,187.0,543.0,246.0,297.0
2018-01-02,,927.0,924.0,772.0,1191.0,904.0,,673.0,318.0,354.0,563.0,275.0,287.0,544.0,702.0,328.0,373.0,1181.0,582.0,598.0,1390.0,699.0,690.0,889.0,503.0,385.0,451.0,,,1070.0,518.0,552.0,755.0,384.0,370.0,1128.0,482.0,645.0
2018-01-03,,962.0,922.0,772.0,1206.0,883.0,,699.0,331.0,368.0,587.0,287.0,300.0,553.0,711.0,327.0,383.0,1149.0,573.0,575.0,1358.0,685.0,672.0,885.0,498.0,386.0,453.0,,,1104.0,536.0,567.0,767.0,391.0,375.0,1099.0,483.0,616.0
2018-01-04,,978.0,941.0,801.0,1233.0,900.0,,720.0,344.0,376.0,606.0,296.0,310.0,565.0,726.0,339.0,386.0,1176.0,583.0,593.0,1404.0,705.0,698.0,904.0,510.0,393.0,458.0,,,1126.0,548.0,577.0,776.0,397.0,378.0,1131.0,491.0,640.0
2018-01-05,,1027.0,986.0,852.0,1278.0,946.0,,743.0,359.0,383.0,613.0,301.0,312.0,604.0,762.0,357.0,405.0,1278.0,643.0,634.0,1468.0,744.0,724.0,956.0,541.0,415.0,475.0,,,1175.0,577.0,597.0,838.0,431.0,406.0,1238.0,544.0,694.0
2018-01-06,,780.0,680.0,629.0,795.0,650.0,,450.0,231.0,219.0,412.0,203.0,209.0,402.0,413.0,197.0,216.0,831.0,416.0,414.0,1088.0,556.0,531.0,575.0,330.0,245.0,250.0,,,599.0,286.0,312.0,523.0,266.0,256.0,758.0,355.0,402.0
2018-01-07,,821.0,638.0,589.0,800.0,605.0,,463.0,238.0,224.0,426.0,215.0,210.0,394.0,416.0,205.0,211.0,833.0,395.0,437.0,1071.0,539.0,531.0,565.0,323.0,241.0,241.0,,,607.0,266.0,340.0,528.0,251.0,276.0,739.0,317.0,421.0
2018-01-08,,1229.0,1058.0,908.0,1435.0,1004.0,,910.0,430.0,480.0,709.0,354.0,355.0,689.0,826.0,380.0,446.0,1422.0,713.0,708.0,1609.0,832.0,776.0,1046.0,572.0,474.0,527.0,,,1370.0,664.0,705.0,967.0,489.0,477.0,1360.0,610.0,749.0
2018-01-09,,1297.0,1084.0,917.0,1433.0,1035.0,,932.0,447.0,484.0,735.0,363.0,371.0,712.0,833.0,382.0,451.0,1442.0,716.0,726.0,1657.0,849.0,807.0,1030.0,564.0,466.0,517.0,,,1389.0,681.0,707.0,941.0,479.0,461.0,1378.0,624.0,754.0
2018-01-10,,1285.0,1095.0,913.0,1434.0,1028.0,,945.0,456.0,488.0,740.0,370.0,370.0,722.0,844.0,385.0,458.0,1671.0,942.0,729.0,1665.0,855.0,809.0,1048.0,578.0,469.0,527.0,,,1428.0,710.0,717.0,974.0,497.0,476.0,1405.0,647.0,757.0
2018-01-11,,1309.0,1098.0,934.0,1444.0,1023.0,,955.0,457.0,497.0,761.0,382.0,379.0,721.0,855.0,393.0,461.0,1442.0,718.0,723.0,1636.0,827.0,808.0,1054.0,577.0,476.0,521.0,,,1424.0,698.0,725.0,988.0,506.0,482.0,1392.0,631.0,761.0
2018-01-12,,1348.0,1157.0,993.0,1521.0,1080.0,,971.0,468.0,502.0,753.0,368.0,384.0,749.0,906.0,408.0,497.0,1544.0,785.0,758.0,1736.0,886.0,850.0,1114.0,613.0,500.0,564.0,,,1517.0,759.0,758.0,1052.0,551.0,500.0,1495.0,684.0,810.0
2018-01-13,,986.0,919.0,835.0,1094.0,863.0,,634.0,315.0,318.0,512.0,244.0,268.0,564.0,589.0,274.0,314.0,1154.0,587.0,566.0,1318.0,658.0,659.0,820.0,473.0,347.0,408.0,,,884.0,430.0,453.0,703.0,370.0,332.0,1037.0,448.0,588.0
2018-01-14,,824.0,683.0,631.0,840.0,652.0,,451.0,229.0,221.0,428.0,214.0,214.0,405.0,421.0,201.0,219.0,875.0,454.0,421.0,1131.0,597.0,533.0,554.0,321.0,233.0,256.0,,,595.0,271.0,323.0,470.0,233.0,237.0,736.0,354.0,382.0
2018-01-15,,1283.0,1063.0,898.0,1418.0,1000.0,,918.0,440.0,477.0,728.0,355.0,373.0,689.0,845.0,390.0,454.0,1413.0,710.0,703.0,1613.0,834.0,779.0,1051.0,574.0,477.0,508.0,,,1404.0,681.0,722.0,960.0,491.0,469.0,1343.0,615.0,727.0
2018-01-16,,1313.0,1095.0,908.0,1443.0,1033.0,,935.0,450.0,484.0,728.0,330.0,397.0,715.0,871.0,396.0,474.0,1455.0,723.0,732.0,1655.0,854.0,801.0,1058.0,588.0,470.0,518.0,,,1430.0,700.0,729.0,985.0,503.0,482.0,1400.0,630.0,769.0
2018-01-17,,1331.0,1075.0,912.0,1439.0,1009.0,,949.0,458.0,490.0,726.0,325.0,401.0,716.0,889.0,408.0,481.0,1426.0,713.0,713.0,1648.0,848.0,800.0,1049.0,570.0,478.0,529.0,,,1477.0,727.0,749.0,1000.0,511.0,489.0,1375.0,625.0,749.0
2018-01-18,,1311.0,1110.0,928.0,1501.0,1043.0,,937.0,452.0,485.0,735.0,327.0,408.0,732.0,931.0,427.0,504.0,1493.0,745.0,748.0,1697.0,870.0,826.0,1071.0,588.0,483.0,545.0,,,1549.0,767.0,781.0,991.0,510.0,481.0,1435.0,653.0,781.0
2018-01-19,,1371.0,1169.0,983.0,1554.0,1085.0,,957.0,459.0,498.0,742.0,326.0,415.0,761.0,943.0,426.0,516.0,1570.0,792.0,777.0,1757.0,900.0,857.0,1125.0,625.0,499.0,567.0,,,1598.0,811.0,786.0,1044.0,549.0,495.0,1508.0,694.0,813.0
2018-01-20,,1004.0,908.0,808.0,1191.0,861.0,,618.0,307.0,311.0,502.0,218.0,283.0,567.0,658.0,300.0,358.0,1176.0,587.0,588.0,1371.0,674.0,696.0,829.0,471.0,357.0,438.0,,,1052.0,516.0,535.0,720.0,384.0,335.0,1087.0,468.0,618.0
2018-01-21,,859.0,716.0,644.0,949.0,670.0,,469.0,240.0,228.0,433.0,189.0,244.0,437.0,552.0,270.0,281.0,933.0,465.0,468.0,1195.0,616.0,578.0,591.0,335.0,255.0,272.0,,,850.0,397.0,453.0,525.0,264.0,261.0,819.0,378.0,441.0
2018-01-22,,1266.0,1056.0,903.0,1427.0,1017.0,,917.0,438.0,478.0,694.0,305.0,389.0,707.0,856.0,390.0,465.0,1426.0,709.0,717.0,1609.0,834.0,775.0,1045.0,572.0,473.0,528.0,,,1432.0,707.0,724.0,959.0,488.0,471.0,1355.0,616.0,739.0
2018-01-23,,1271.0,1069.0,905.0,1416.0,1006.0,,913.0,439.0,474.0,695.0,302.0,393.0,700.0,862.0,396.0,465.0,1389.0,694.0,694.0,1606.0,829.0,777.0,1042.0,569.0,473.0,519.0,,,1407.0,689.0,718.0,963.0,498.0,464.0,1333.0,612.0,720.0
2018-01-24,,1301.0,1091.0,915.0,1405.0,1012.0,,944.0,453.0,490.0,710.0,309.0,400.0,723.0,870.0,398.0,472.0,1427.0,714.0,712.0,1639.0,845.0,793.0,1049.0,577.0,472.0,520.0,,,1434.0,707.0,726.0,1003.0,510.0,492.0,1405.0,652.0,752.0
2018-01-25,,1320.0,1085.0,927.0,1416.0,1026.0,,928.0,445.0,482.0,719.0,316.0,403.0,738.0,868.0,391.0,476.0,1427.0,710.0,716.0,1634.0,844.0,789.0,1047.0,573.0,474.0,516.0,,,1440.0,710.0,730.0,994.0,512.0,482.0,1385.0,637.0,748.0
2018-01-26,,1352.0,1144.0,967.0,1514.0,1089.0,,959.0,461.0,498.0,733.0,323.0,409.0,757.0,886.0,402.0,484.0,1530.0,770.0,759.0,1735.0,897.0,838.0,1102.0,605.0,496.0,565.0,,,1497.0,749.0,748.0,1040.0,542.0,497.0,1467.0,670.0,797.0
2018-01-27,,998.0,906.0,819.0,1122.0,855.0,,629.0,312.0,316.0,509.0,219.0,289.0,587.0,619.0,283.0,335.0,1157.0,575.0,581.0,1338.0,665.0,673.0,818.0,465.0,352.0,407.0,,,924.0,453.0,471.0,727.0,382.0,344.0,1063.0,463.0,600.0
2018-01-28,,875.0,685.0,639.0,859.0,638.0,,477.0,239.0,238.0,430.0,192.0,238.0,427.0,452.0,218.0,233.0,900.0,449.0,451.0,1137.0,583.0,553.0,569.0,328.0,240.0,250.0,,,657.0,302.0,355.0,541.0,270.0,271.0,800.0,366.0,434.0
2018-01-29,,1265.0,1081.0,900.0,1415.0,1016.0,,917.0,439.0,478.0,699.0,310.0,389.0,696.0,828.0,385.0,443.0,1450.0,722.0,728.0,1612.0,831.0,780.0,1069.0,584.0,484.0,522.0,,,1399.0,680.0,719.0,988.0,499.0,489.0,1405.0,635.0,770.0
