ds,pm10,pm25,pm1,year,dayofyear,Julian,temp_max,temp_min,temp_sred,max-min_temp,tlak_max,tlak_min,tlak_sred,max-min_tlak,rv_max,rv_min,rv_sred,max-min_rv,m/s,l/m2,E_0,E_C,E_E,E_ENE,E_ESE,E_N,E_NE,E_NEE,E_NNE,E_NNW,E_NW,E_S,E_SE,E_SSE,E_SSW,E_SW,E_W,E_WNW,E_WSW,weekday_Friday,weekday_Monday,weekday_Saturday,weekday_Sunday,weekday_Thursday,weekday_Tuesday,weekday_Wednesday,month_Apr,month_Aug,month_Dec,month_Feb,month_Jan,month_Jul,month_Jun,month_Mar,month_May,month_Nov,month_Oct,month_Sep,season_fall,season_spring,season_summer,season_winter,trend,weekly,yearly
2009-01-01,77.30973778,70.07910228,37.08318065,2009,1,2454832,-2.5,-6.5,-3.6,4.0,1010.7,1009.3,1009.8,1.4,93,84,89,9,1.3,0.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,20.160671497006277,0.1532407832693659,8.286568434773452
2009-01-02,34.40652034,35.0877193,26.5560166,2009,32,2454863,1.5,-0.4,0.5,1.9,999.7,997.7,998.4,2.0,91,82,87,9,1.7,0.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,20.157903638363166,-0.24381333795700455,7.914693278077227
2009-01-03,33.69356479,25.47658708,21.08623242,2009,60,2454891,16.1,0.4,10.1,15.7,999.8,998.4,999.1,1.4,83,42,63,41,0.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,20.15513577972006,-0.3308059560754936,7.571147884044361
2009-01-04,46.97083913,36.11467302,28.0952381,2009,91,2454922,13.0,8.0,11.0,5.0,1003.5,1002.8,1003.1,0.7,99,82,90,17,0.266666667,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20.152367921076948,-0.12784135795908644,7.264693143205794
2009-01-05,25.64058059,18.05097971,17.34003815,2009,121,2454952,24.0,10.9,16.9,13.1,999.2,997.4,998.2,1.8,79,38,58,41,0.8,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,20.149600062433837,0.6744763141048415,7.002906069870458
2009-01-06,14.66200212,10.87588588,9.609445958,2009,152,2454983,21.1,7.3,15.6,13.8,1001.4,999.5,1000.2,1.9,93,54,72,39,1.7,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,20.14683220379073,-0.2810976656384594,6.7919929840905615
2009-01-07,42.41852199,28.15525278,24.03191108,2009,182,2455013,28.1,18.6,22.5,9.5,1002.1,1000.6,1001.6,1.5,96,56,78,40,1.0,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,20.14406434514762,0.15584122025484243,6.6366412312755445
2009-01-08,41.55033763,27.46657029,20.82731214,2009,213,2455044,31.0,17.4,24.7,13.6,1002.9,999.2,1000.8,3.7,68,41,58,27,0.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20.14129648650451,0.1532407832697638,6.5399131744312955
2009-01-09,35.85277832,25.29379859,21.91001084,2009,244,2455075,28.9,11.6,20.5,17.3,1005.4,1000.7,1003.0,4.7,78,42,64,36,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,20.1385286278614,-0.24381333795664592,6.5031849958475005
2009-01-10,38.16703121,26.84776857,23.51851852,2009,274,2455105,27.4,11.6,19.9,15.8,998.9,995.7,996.8,3.2,95,39,66,56,0.9,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,20.13576076921829,-0.3308059560749596,6.5261315834470865
2009-01-11,46.97673211,43.13421963,32.77180841,2009,305,2455136,9.4,-2.6,2.2,12.0,1010.8,1005.4,1008.0,5.4,96,53,80,43,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,20.132992910575183,-0.12784135795781834,6.606757487974836
2009-01-12,24.30352001,13.89296188,9.222588926,2009,335,2455166,14.8,7.6,9.2,7.2,993.2,985.9,989.0,7.3,98,80,89,18,0.8,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,20.13022505193207,0.6744763141048405,6.741472657493261
2009-01-13,137.1312471,128.7555953,52.32319781,2009,13,2454844,-6.4,-7.4,-6.8,1.0,1013.9,1008.3,1010.8,5.6,89,86,87,3,0.746123171,3.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,20.12745719328896,-0.28109766563931765,6.925210421456365
2009-01-14,99.00732344,94.88876632,59.19867671,2009,14,2454845,-2.1,-6.6,-3.0,4.5,1002.0,999.9,1001.0,2.1,92,87,89,5,0.204140586,13.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,20.124689334645854,0.15584122025407113,7.151584042686365
2009-01-15,107.2005444,90.19715225,65.2400073,2009,15,2454846,2.1,-2.7,-1.4,4.8,1007.9,1004.4,1006.2,3.5,97,85,93,12,0.36932655,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,20.121921476002743,0.15324078327026072,7.413077114174926
2009-01-16,89.01420005,68.44003607,49.63023088,2009,16,2454847,1.2,-3.7,-1.2,4.9,1012.3,1009.6,1010.7,2.7,98,85,94,13,0.266666667,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,20.119153617359636,-0.2438133379543262,7.701262177524575
2009-01-17,60.09114316,51.35973718,36.06497536,2009,17,2454848,-1.8,-4.5,-4.0,2.7,1011.5,1009.1,1010.2,2.4,100,94,97,6,0.443463315,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,20.116385758716522,-0.3308059560744254,8.00704120576987
2009-01-18,39.21782541,36.34980308,31.87679083,2009,18,2454849,5.5,-4.7,0.5,10.2,1005.1,994.7,999.8,10.4,97,86,93,11,0.377145432,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,20.113617900073415,-0.12784135795655013,8.320901044896996
2009-01-19,37.24415227,32.51980107,30.09028929,2009,19,2454850,7.7,1.8,2.9,5.9,997.9,992.0,995.0,5.9,98,90,95,8,0.740072588,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,20.110850041430307,0.6744763141045905,8.633176559981008
2009-01-20,39.89065065,24.37466259,19.38995861,2009,20,2454851,13.7,0.3,6.2,13.4,989.1,987.0,988.1,2.1,97,64,82,33,0.266690292,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,20.108082182787197,-0.28109766563865574,8.934314091845032
2009-01-21,26.10991727,24.75548994,19.76744186,2009,21,2454852,8.8,3.0,6.2,5.8,988.9,987.7,988.4,1.2,97,84,92,13,1.257765181,31.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,20.105314324144086,0.15584122025398442,9.215127901020628
2009-01-22,32.652132,29.34824903,32.33463035,2009,22,2454853,6.1,2.1,2.8,4.0,994.3,990.4,992.7,3.9,95,86,91,9,0.266723677,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,20.10254646550098,0.1532407832687528,9.467042553817064
2009-01-23,21.98869188,20.10219823,18.20636451,2009,23,2454854,4.6,2.0,3.6,2.6,984.7,974.5,979.2,10.2,98,83,91,15,1.092173957,8.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,20.099778606857868,-0.24381333795719282,9.682314680916548
2009-01-24,16.73874236,14.86985416,14.20129271,2009,24,2454855,6.3,2.8,4.8,3.5,977.2,974.8,975.9,2.4,91,85,87,6,0.523062899,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,20.09701074821476,-0.33080595607551944,9.854228196918937
2009-01-25,26.7523305,20.92939481,19.14836154,2009,25,2454856,6.5,3.4,4.5,3.1,986.5,983.1,985.0,3.4,74,63,70,11,2.381405182,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,20.09424288957165,-0.12784135795865073,9.977257889219544
2009-01-26,37.71829862,31.71740278,27.96446165,2009,26,2454857,7.8,0.5,4.9,7.3,990.1,988.2,989.0,1.9,90,65,80,25,0.103980086,4.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,20.09147503092854,0.6744763141053122,10.047197241715939
2009-01-27,10.70754025,9.578074967,8.483992467,2009,27,2454858,5.8,2.4,3.4,3.4,990.5,987.3,988.8,3.2,89,87,88,2,3.324062476,19.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,20.08870717228543,-0.28109766563876565,10.061247424333008
2009-01-28,19.4998851,18.88970319,17.61311596,2009,28,2454859,4.4,1.6,2.6,2.8,995.4,993.3,994.3,2.1,97,74,84,23,0.80000001,4.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,20.08593931364232,0.1558412202538978,10.018065521724273
2009-01-29,26.17377772,24.65379009,22.09365889,2009,29,2454860,3.5,1.0,2.6,2.5,1002.3,996.5,999.2,5.8,85,75,79,10,1.798483751,0.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,20.083171454999214,0.1532407832710564,9.917771260079945
2009-01-30,26.16300638,25.56199508,22.76558385,2009,30,2454861,2.6,1.0,1.2,1.6,1005.9,1005.1,1005.5,0.8,76,69,72,7,2.4,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,20.0804035963561,-0.24381333795487314,9.761912685237089
2009-01-31,37.71791487,36.5878071,31.17604224,2009,31,2454862,1.7,0.2,0.6,1.5,1003.5,1000.4,1001.7,3.1,88,67,75,21,1.109344008,0.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,20.077635737712992,-0.3308059560754355,9.553392413587819
2009-02-01,40.71406368,41.48800872,30.70637371,2009,2,2454833,-1.1,-3.7,-1.5,2.6,1010.6,1008.3,1009.6,2.3,82,79,80,3,1.066666667,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,20.074867879069885,-0.1278413579573827,9.296357186162579
2009-02-02,31.67291591,28.2798574,23.12834225,2009,33,2454864,2.5,0.3,1.9,2.2,1000.5,996.4,998.7,4.1,97,90,93,7,0.9,6.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,20.072100020426774,0.6744763141050624,8.996054474024714
2009-02-03,52.77932162,52.4581209,31.66089965,2009,61,2454892,12.7,5.4,8.6,7.3,1000.1,998.6,999.1,1.5,92,67,82,25,0.6,2.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,20.069332161783663,-0.2810976656388756,8.658660781208237
2009-02-04,38.88772373,30.62511099,27.48179719,2009,92,2454923,17.6,10.9,12.8,6.7,1004.0,1002.8,1003.5,1.2,94,47,76,47,1.49074234,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20.066564303140552,0.15584122025528407,8.291087044799319
2009-02-05,24.99746595,16.05145414,14.65051258,2009,122,2454953,18.8,10.6,13.3,8.2,1007.0,1004.0,1005.5,3.0,88,43,59,45,1.7,0.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,20.063796444497445,0.15324078326964755,7.900767119911523
2009-02-06,11.39654359,10.45036765,6.212093365,2009,153,2454984,22.0,8.5,16.3,13.5,997.9,995.6,996.4,2.3,85,42,63,43,1.8,1.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,20.061028585854338,-0.24381333795577856,7.495435744654938
2009-02-07,51.12894179,33.80306814,27.31894399,2009,183,2455014,27.2,17.0,21.3,10.2,1001.6,998.9,1000.0,2.7,91,85,88,6,0.1,10.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,20.058260727211227,-0.3308059560749014,7.082902596592365
2009-02-08,28.90352214,20.34651669,18.24116047,2009,214,2455045,35.5,18.0,26.5,17.5,998.2,995.9,996.8,2.3,74,29,53,45,0.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20.055492868568116,-0.127841357957087,6.670829073187199
2009-02-09,31.66718503,22.89761521,19.2101021,2009,245,2455076,29.6,14.4,22.7,15.2,1000.5,998.9,999.9,1.6,73,42,63,31,1.1,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,20.052725009925005,0.6744763141050613,6.266514255525564
2009-02-10,19.70989761,13.21138211,9.484193012,2009,275,2455106,20.2,14.0,14.4,6.2,1001.0,999.5,1000.3,1.5,91,77,84,14,1.9,5.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,20.049957151281898,-0.2810976656389621,5.876696154286318
2009-02-11,49.05209423,47.40807175,36.26008969,2009,306,2455137,8.2,-1.0,4.9,9.2,999.3,990.2,994.6,9.1,96,62,82,34,1.2,32.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,20.04718929263879,0.1558412202530398,5.507373801778004
2009-02-12,28.54051882,23.68277616,18.72046529,2009,336,2455167,9.5,1.4,3.7,8.1,1001.7,1000.1,1001.0,1.6,97,67,86,30,0.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,20.044421433995677,0.15324078326823873,5.163655061371534
2009-02-13,12.42922136,8.461681202,7.524587122,2009,44,2454875,4.7,-3.7,-0.1,8.4,997.4,996.2,996.8,1.2,82,36,61,46,1.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,20.04165357535257,-0.24381333795668408,4.849634197775316
2009-02-14,9.894206225,8.837750716,7.906518625,2009,45,2454876,5.5,-2.2,1.9,7.7,1002.6,997.6,999.6,5.0,76,41,54,35,1.6,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,20.038885716709462,-0.33080595607436725,4.5683023140486165
2009-02-15,22.21397414,17.84856879,16.43582641,2009,46,2454877,3.8,-2.5,-0.4,6.3,1009.6,1006.5,1007.9,3.1,80,39,56,41,1.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,20.03611785806635,-0.1278413579567915,4.321492742740498
2009-02-16,26.93216699,21.60237924,16.66366258,2009,47,2454878,3.8,-4.4,0.2,8.2,1008.4,1002.8,1005.5,5.6,68,50,61,18,0.8,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,20.03334999942324,0.6744763141052349,4.109862410116843
2009-02-17,23.13334809,20.72798996,17.02833572,2009,48,2454879,8.1,-1.8,1.6,9.9,997.9,993.7,996.4,4.2,80,43,58,37,1.3,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,20.03058214078013,-0.2810976656383237,3.9329091061071098
